"X14";"X38";"X12";"X32";"X30";"X35";"X10";"X34";"X13";"X17";"X62";"X47";"X58";"X19";"X5";"X31";"X2";"X48";"X44";"X11";"X25";"X46";"X21";"X50";"X52";"X18";"X29";"X64";"X56";"X59";"X6";"X39";"X49";"X40";"X27";"X24";"X3";"X53";"X45";"X23";"X22";"X33";"X9";"X26";"X57";"X42";"X36";"X63";"X41";"X8";"X61";"X1";"X55";"X4";"X60";"X28";"X43";"X16";"X20";"X37";"X15";"X54";"X51";"X7";"generation"
14;38;12;32;30;35;10;34;13;17;62;47;58;19;5;31;2;48;44;11;25;46;21;50;52;18;29;64;56;59;6;39;49;40;27;24;3;53;45;23;22;33;9;26;57;42;36;63;41;8;61;1;55;4;60;28;43;16;20;37;15;54;51;7;1
10;35;48;7;17;34;5;32;30;12;38;51;2;44;58;31;62;19;47;11;25;15;21;50;52;18;29;64;56;59;6;39;49;40;27;24;3;53;45;23;22;33;9;26;57;42;36;63;41;8;61;54;37;4;60;28;43;16;20;55;46;1;14;13;1
10;23;20;32;53;35;1;45;9;62;47;33;18;4;27;8;39;57;59;50;13;42;22;29;31;58;25;46;19;24;7;28;14;41;61;37;43;16;6;34;21;51;30;26;56;64;36;63;40;52;2;5;55;44;60;12;3;17;48;38;15;54;49;11;1
38;51;20;32;15;35;12;7;13;14;37;34;5;44;58;31;62;19;47;11;25;46;21;50;52;18;29;64;56;59;6;39;49;40;27;24;3;53;45;23;22;33;9;26;57;42;36;63;41;8;61;1;55;4;60;28;43;16;54;2;48;17;10;30;1
38;37;13;43;48;58;20;52;62;28;32;9;7;45;63;55;61;14;53;21;1;8;47;10;27;57;36;35;2;30;44;22;39;19;60;3;29;50;12;42;26;40;11;51;64;17;15;34;59;24;5;6;54;33;41;23;31;16;46;49;25;56;18;4;1
38;23;20;22;59;35;13;4;33;62;32;9;7;45;63;55;61;14;53;21;1;8;47;10;27;57;25;46;19;24;18;28;58;41;39;37;43;16;6;50;26;40;11;51;64;17;15;34;31;44;60;3;52;12;5;49;42;36;54;2;48;56;29;30;1
10;35;11;7;17;34;5;32;51;58;29;30;63;6;45;56;27;60;9;48;61;46;21;50;52;18;38;64;31;59;44;39;49;40;62;24;3;53;12;23;22;33;47;26;57;42;36;2;41;8;25;1;55;4;19;28;43;16;20;37;15;54;14;13;1
54;64;15;38;32;35;28;18;11;58;29;30;37;6;45;56;27;60;25;48;61;41;23;22;34;53;62;12;17;59;14;3;13;20;31;46;49;47;7;44;33;24;9;26;57;42;36;63;4;5;2;55;40;21;10;16;8;1;52;50;51;19;39;43;1
10;35;48;7;9;24;5;32;30;45;38;51;2;44;22;31;26;19;47;11;25;46;21;53;52;18;3;64;57;59;6;39;33;40;60;34;29;50;12;42;58;49;17;62;56;23;36;63;41;8;61;1;55;4;27;28;43;16;20;37;15;54;14;13;1
38;11;25;31;48;62;46;52;51;23;32;9;7;45;3;64;5;18;53;21;6;24;47;10;27;56;13;35;2;30;44;22;39;19;59;34;29;50;12;40;58;49;17;26;57;42;36;63;41;8;61;1;55;4;60;28;43;16;20;37;15;54;14;33;1
