"X1";"X5771582";"X11";"X9";"X2";"X17";"X15";"X6";"X23";"X5";"X16";"X22";"X13";"X3";"X4";"X18";"X10";"X1.1";"X19";"X26";"X14";"X25";"X7";"X21";"X20";"X8";"X12";"X24"
1;5771582;11;9;2;17;15;6;23;5;16;22;13;3;4;18;10;1;19;26;14;25;7;21;20;8;12;24
11;9;2;17;15;6;23;5;16;22;13;3;4;18;10;1;19;12;14;25;7;21;20;8;26;24;1;5753770
1;5753770;11;9;2;17;15;6;23;5;16;22;13;3;4;18;10;1;19;12;14;25;7;21;20;8;26;24
11;9;2;17;15;6;23;25;16;22;13;3;4;18;10;1;19;12;14;5;7;21;20;8;26;24;1;6024222
1;6024222;11;9;2;17;15;6;23;25;16;22;13;3;4;18;10;1;19;12;14;5;7;21;20;8;26;24
11;9;2;17;15;6;23;25;16;22;13;3;24;18;10;1;19;12;14;5;7;21;20;8;26;4;1;5990551
1;5990551;11;9;2;17;15;6;23;25;16;22;13;3;24;18;10;1;19;12;14;5;7;21;20;8;26;4
11;9;2;17;15;6;23;25;16;22;19;3;24;18;10;1;13;12;14;5;7;21;20;8;26;4;1;6039672
1;6039672;11;9;2;17;15;6;23;25;16;22;19;3;24;18;10;1;13;12;14;5;7;21;20;8;26;4
11;9;2;17;15;6;23;25;16;22;19;14;24;18;10;1;13;12;3;5;7;21;20;8;26;4;1;6032664
1;6032664;11;9;2;17;15;6;23;25;16;22;19;14;24;18;10;1;13;12;3;5;7;21;20;8;26;4
11;9;2;17;15;6;23;12;16;22;19;14;24;18;10;1;13;25;3;5;7;21;20;8;26;4;1;6045197
1;6045197;11;9;2;17;15;6;23;12;16;22;19;14;24;18;10;1;13;25;3;5;7;21;20;8;26;4
11;9;2;17;15;21;23;12;16;22;19;14;24;18;10;1;13;25;3;5;7;6;20;8;26;4;1;6062329
1;6062329;11;9;2;17;15;21;23;12;16;22;19;14;24;18;10;1;13;25;3;5;7;6;20;8;26;4
11;9;2;17;15;21;23;12;16;1;19;14;24;18;10;22;13;25;3;5;7;6;20;8;26;4;1;6055318
1;6055318;11;9;2;17;15;21;23;12;16;1;19;14;24;18;10;22;13;25;3;5;7;6;20;8;26;4
11;9;2;17;15;1;23;12;16;21;19;14;24;18;10;22;13;25;3;5;7;6;20;8;26;4;1;6056474
1;6056474;11;9;2;17;15;1;23;12;16;21;19;14;24;18;10;22;13;25;3;5;7;6;20;8;26;4
11;9;2;17;15;1;23;12;16;21;22;14;24;18;10;19;13;25;3;5;7;6;20;8;26;4;1;6019901
1;6019901;11;9;2;17;15;1;23;12;16;21;22;14;24;18;10;19;13;25;3;5;7;6;20;8;26;4
11;9;2;17;15;1;23;12;16;21;22;14;24;18;5;19;13;25;3;10;7;6;20;8;26;4;1;5985946
1;5985946;11;9;2;17;15;1;23;12;16;21;22;14;24;18;5;19;13;25;3;10;7;6;20;8;26;4
11;9;2;17;15;1;23;12;16;21;22;14;24;18;5;19;13;10;3;25;7;6;20;8;26;4;1;5986108
1;5986108;11;9;2;17;15;1;23;12;16;21;22;14;24;18;5;19;13;10;3;25;7;6;20;8;26;4
11;9;2;17;15;1;23;12;16;21;22;14;24;18;10;19;13;5;3;25;7;6;20;8;26;4;1;5758098
1;5758098;11;9;2;17;15;1;23;12;16;21;22;14;24;18;10;19;13;5;3;25;7;6;20;8;26;4
11;9;2;17;15;1;4;12;16;21;22;14;24;18;10;19;13;5;3;25;7;6;20;8;26;23;1;5748526
1;5748526;11;9;2;17;15;1;4;12;16;21;22;14;24;18;10;19;13;5;3;25;7;6;20;8;26;23
11;9;2;17;15;6;4;12;16;21;22;14;24;18;10;19;13;5;3;25;7;1;20;8;26;23;1;5763037
1;5763037;11;9;2;17;15;6;4;12;16;21;22;14;24;18;10;19;13;5;3;25;7;1;20;8;26;23
11;9;2;17;15;6;4;12;16;21;22;14;24;18;10;23;13;5;3;25;7;1;20;8;26;19;1;5778027
1;5778027;11;9;2;17;15;6;4;12;16;21;22;14;24;18;10;23;13;5;3;25;7;1;20;8;26;19
11;9;2;17;15;6;4;12;16;21;22;14;24;18;8;23;13;5;3;25;7;1;20;10;26;19;1;5773983
1;5773983;11;9;2;17;15;6;4;12;16;21;22;14;24;18;8;23;13;5;3;25;7;1;20;10;26;19
11;9;2;17;20;6;4;12;16;21;22;14;24;18;8;23;13;5;3;25;7;1;15;10;26;19;1;5762947
1;5762947;11;9;2;17;20;6;4;12;16;21;22;14;24;18;8;23;13;5;3;25;7;1;15;10;26;19
11;9;2;17;8;6;4;12;16;21;22;14;24;18;20;23;13;5;3;25;7;1;15;10;26;19;1;5762682
1;5762682;11;9;2;17;8;6;4;12;16;21;22;14;24;18;20;23;13;5;3;25;7;1;15;10;26;19
11;9;2;17;26;6;4;12;16;21;22;14;24;18;20;23;13;5;3;25;7;1;15;10;8;19;1;5803334
2;5803334;11;9;2;17;26;6;4;12;16;21;22;14;24;18;20;23;13;5;3;25;7;1;15;10;8;19
13;9;2;17;26;6;4;12;16;21;22;14;24;18;20;23;11;5;3;25;7;1;15;10;8;19;2;5811911
2;5811911;13;9;2;17;26;6;4;12;16;21;22;14;24;18;20;23;11;5;3;25;7;1;15;10;8;19
13;9;2;17;26;6;4;12;16;20;22;14;24;18;21;23;11;5;3;25;7;1;15;10;8;19;2;5816626
2;5816626;13;9;2;17;26;6;4;12;16;20;22;14;24;18;21;23;11;5;3;25;7;1;15;10;8;19
13;9;2;17;26;4;6;12;16;20;22;14;24;18;21;23;11;5;3;25;7;1;15;10;8;19;2;5816626
2;5816626;13;9;2;17;26;4;6;12;16;20;22;14;24;18;21;23;11;5;3;25;7;1;15;10;8;19
13;21;2;17;26;4;6;12;16;20;22;14;24;18;9;23;11;5;3;25;7;1;15;10;8;19;2;5796516
2;5796516;13;21;2;17;26;4;6;12;16;20;22;14;24;18;9;23;11;5;3;25;7;1;15;10;8;19
13;21;2;17;26;4;6;12;16;20;22;14;24;9;18;23;11;5;3;25;7;1;15;10;8;19;2;5791605
2;5791605;13;21;2;17;26;4;6;12;16;20;22;14;24;9;18;23;11;5;3;25;7;1;15;10;8;19
13;21;2;17;24;4;6;12;16;20;22;14;26;9;18;23;11;5;3;25;7;1;15;10;8;19;2;5783673
2;5783673;13;21;2;17;24;4;6;12;16;20;22;14;26;9;18;23;11;5;3;25;7;1;15;10;8;19
13;21;2;17;24;4;6;12;16;20;11;14;26;9;18;23;22;5;3;25;7;1;15;10;8;19;2;5780814
2;5780814;13;21;2;17;24;4;6;12;16;20;11;14;26;9;18;23;22;5;3;25;7;1;15;10;8;19
13;21;2;17;24;4;6;12;16;20;11;19;26;9;18;23;22;5;3;25;7;1;15;10;8;14;2;5833728
2;5833728;13;21;2;17;24;4;6;12;16;20;11;19;26;9;18;23;22;5;3;25;7;1;15;10;8;14
13;21;2;9;24;4;6;12;16;20;11;19;26;17;18;23;22;5;3;25;7;1;15;10;8;14;2;5862430
2;5862430;13;21;2;9;24;4;6;12;16;20;11;19;26;17;18;23;22;5;3;25;7;1;15;10;8;14
13;21;2;9;24;4;6;12;16;20;11;19;26;17;18;23;22;15;3;25;7;1;5;10;8;14;2;6066051
2;6066051;13;21;2;9;24;4;6;12;16;20;11;19;26;17;18;23;22;15;3;25;7;1;5;10;8;14
13;21;2;9;24;4;6;12;16;20;11;19;26;17;18;23;22;15;10;25;7;1;5;3;8;14;2;6068241
2;6068241;13;21;2;9;24;4;6;12;16;20;11;19;26;17;18;23;22;15;10;25;7;1;5;3;8;14
13;21;2;9;24;4;6;12;16;20;11;19;17;26;18;23;22;15;10;25;7;1;5;3;8;14;2;6070673
2;6070673;13;21;2;9;24;4;6;12;16;20;11;19;17;26;18;23;22;15;10;25;7;1;5;3;8;14
5;21;2;9;24;4;6;12;16;20;11;19;17;26;18;23;22;15;10;25;7;1;13;3;8;14;2;5967145
2;5967145;5;21;2;9;24;4;6;12;16;20;11;19;17;26;18;23;22;15;10;25;7;1;13;3;8;14
5;21;2;9;24;4;6;12;16;20;11;19;3;26;18;23;22;15;10;25;7;1;13;17;8;14;2;5900274
2;5900274;5;21;2;9;24;4;6;12;16;20;11;19;3;26;18;23;22;15;10;25;7;1;13;17;8;14
5;21;2;9;24;4;6;12;16;20;11;19;3;26;18;23;22;15;14;25;7;1;13;17;8;10;2;5850441
