"X1";"X6037284";"X24";"X4";"X17";"X26";"X13";"X20";"X14";"X15";"X7";"X1.1";"X25";"X19";"X8";"X21";"X12";"X3";"X22";"X11";"X10";"X5";"X16";"X2";"X6";"X18";"X23";"X9"
1;6037284;24;4;17;26;13;20;14;15;7;1;25;19;8;21;12;3;22;11;10;5;16;2;6;18;23;9
24;4;17;26;13;20;14;21;7;1;25;19;8;15;12;3;22;11;10;5;16;2;6;18;23;9;1;6042905
1;6042905;24;4;17;26;13;20;14;21;7;1;25;19;8;15;12;3;22;11;10;5;16;2;6;18;23;9
24;4;17;26;13;20;14;21;7;1;25;19;12;15;8;3;22;11;10;5;16;2;6;18;23;9;1;6029220
1;6029220;24;4;17;26;13;20;14;21;7;1;25;19;12;15;8;3;22;11;10;5;16;2;6;18;23;9
24;4;17;26;13;20;14;21;7;1;25;19;6;15;8;3;22;11;10;5;16;2;12;18;23;9;1;6057543
1;6057543;24;4;17;26;13;20;14;21;7;1;25;19;6;15;8;3;22;11;10;5;16;2;12;18;23;9
24;4;17;26;13;23;14;21;7;1;25;19;6;15;8;3;22;11;10;5;16;2;12;18;20;9;1;6057115
1;6057115;24;4;17;26;13;23;14;21;7;1;25;19;6;15;8;3;22;11;10;5;16;2;12;18;20;9
24;4;17;26;13;23;14;21;7;1;25;19;6;15;8;3;11;22;10;5;16;2;12;18;20;9;1;6063546
1;6063546;24;4;17;26;13;23;14;21;7;1;25;19;6;15;8;3;11;22;10;5;16;2;12;18;20;9
24;4;17;10;13;23;14;21;7;1;25;19;6;15;8;3;11;22;26;5;16;2;12;18;20;9;1;6062621
1;6062621;24;4;17;10;13;23;14;21;7;1;25;19;6;15;8;3;11;22;26;5;16;2;12;18;20;9
24;4;17;19;13;23;14;21;7;1;25;10;6;15;8;3;11;22;26;5;16;2;12;18;20;9;1;6114983
1;6114983;24;4;17;19;13;23;14;21;7;1;25;10;6;15;8;3;11;22;26;5;16;2;12;18;20;9
24;4;17;6;13;23;14;21;7;1;25;10;19;15;8;3;11;22;26;5;16;2;12;18;20;9;1;6076271
1;6076271;24;4;17;6;13;23;14;21;7;1;25;10;19;15;8;3;11;22;26;5;16;2;12;18;20;9
24;4;17;6;13;12;14;21;7;1;25;10;19;15;8;3;11;22;26;5;16;2;23;18;20;9;1;6089104
1;6089104;24;4;17;6;13;12;14;21;7;1;25;10;19;15;8;3;11;22;26;5;16;2;23;18;20;9
24;4;17;6;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;5;16;2;23;18;19;9;1;6110762
1;6110762;24;4;17;6;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;5;16;2;23;18;19;9
24;4;17;6;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;5;16;23;2;18;19;9;1;6108102
1;6108102;24;4;17;6;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;5;16;23;2;18;19;9
16;4;17;6;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;5;24;23;2;18;19;9;1;6107585
1;6107585;16;4;17;6;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;5;24;23;2;18;19;9
16;4;17;6;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;23;24;5;2;18;19;9;1;6111912
1;6111912;16;4;17;6;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;23;24;5;2;18;19;9
16;6;17;4;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;23;24;5;2;18;19;9;1;6117017
1;6117017;16;6;17;4;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;23;24;5;2;18;19;9
16;6;17;4;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;23;24;5;18;2;19;9;1;6117017
1;6117017;16;6;17;4;13;12;14;21;7;1;25;10;20;15;8;3;11;22;26;23;24;5;18;2;19;9
