"X1";"X46706";"X7";"X9";"X8";"X12";"X10";"X5";"X3";"X2";"X1.1";"X11";"X4";"X6"
1;46706;7;9;8;12;10;5;3;2;1;11;4;6
7;9;3;12;10;5;8;2;1;11;4;6;1;46046
1;46046;7;9;3;12;10;5;8;2;1;11;4;6
7;2;3;12;10;5;8;9;1;11;4;6;1;39802
1;39802;7;2;3;12;10;5;8;9;1;11;4;6
8;2;3;12;10;5;7;9;1;11;4;6;1;50250
1;39802;7;2;3;12;10;5;8;9;1;11;4;6
7;2;3;1;10;5;8;9;12;11;4;6;1;41970
1;41970;7;2;3;1;10;5;8;9;12;11;4;6
7;2;9;1;10;5;8;3;12;11;4;6;1;43246
1;43246;7;2;9;1;10;5;8;3;12;11;4;6
7;10;9;1;2;5;8;3;12;11;4;6;1;28436
1;28436;7;10;9;1;2;5;8;3;12;11;4;6
7;10;5;1;2;9;8;3;12;11;4;6;1;33530
1;33530;7;10;5;1;2;9;8;3;12;11;4;6
7;10;5;1;2;9;6;3;12;11;4;8;1;36460
1;36460;7;10;5;1;2;9;6;3;12;11;4;8
7;10;5;1;2;9;3;6;12;11;4;8;1;25012
1;25012;7;10;5;1;2;9;3;6;12;11;4;8
12;10;5;1;2;9;3;6;7;11;4;8;1;42146
1;42146;12;10;5;1;2;9;3;6;7;11;4;8
12;10;5;1;9;2;3;6;7;11;4;8;1;38358
1;38358;12;10;5;1;9;2;3;6;7;11;4;8
6;10;5;1;9;2;3;12;7;11;4;8;1;35570
1;35570;6;10;5;1;9;2;3;12;7;11;4;8
6;10;2;1;9;5;3;12;7;11;4;8;1;32468
1;32468;6;10;2;1;9;5;3;12;7;11;4;8
1;10;2;6;9;5;3;12;7;11;4;8;1;28894
1;28894;1;10;2;6;9;5;3;12;7;11;4;8
1;10;11;6;9;5;3;12;7;2;4;8;1;35648
1;35648;1;10;11;6;9;5;3;12;7;2;4;8
12;10;11;6;9;5;3;1;7;2;4;8;1;42700
1;42700;12;10;11;6;9;5;3;1;7;2;4;8
12;10;11;6;9;2;3;1;7;5;4;8;1;48468
1;48468;12;10;11;6;9;2;3;1;7;5;4;8
12;10;11;6;9;5;3;1;7;2;4;8;1;42700
1;42700;12;10;11;6;9;5;3;1;7;2;4;8
12;10;6;11;9;5;3;1;7;2;4;8;1;45352
1;45352;12;10;6;11;9;5;3;1;7;2;4;8
12;5;6;11;9;10;3;1;7;2;4;8;1;43564
2;43564;12;5;6;11;9;10;3;1;7;2;4;8
12;5;6;11;9;4;3;1;7;2;10;8;2;55156
2;55156;12;5;6;11;9;4;3;1;7;2;10;8
12;5;6;11;2;4;3;1;7;9;10;8;2;61154
2;61154;12;5;6;11;2;4;3;1;7;9;10;8
12;5;6;11;2;4;3;10;7;9;1;8;2;57582
2;57582;12;5;6;11;2;4;3;10;7;9;1;8
2;5;6;11;12;4;3;10;7;9;1;8;2;63388
2;63388;2;5;6;11;12;4;3;10;7;9;1;8
2;6;5;11;12;4;3;10;7;9;1;8;2;38272
2;38272;2;6;5;11;12;4;3;10;7;9;1;8
7;6;5;11;12;4;3;10;2;9;1;8;2;43984
2;43984;7;6;5;11;12;4;3;10;2;9;1;8
7;6;5;11;12;4;3;10;2;9;8;1;2;49010
2;49010;7;6;5;11;12;4;3;10;2;9;8;1
7;6;5;11;12;4;3;10;8;9;2;1;2;49020
2;49020;7;6;5;11;12;4;3;10;8;9;2;1
7;6;5;11;1;4;3;10;8;9;2;12;2;43208
2;43208;7;6;5;11;1;4;3;10;8;9;2;12
7;6;5;12;1;4;3;10;8;9;2;11;2;42778
2;42778;7;6;5;12;1;4;3;10;8;9;2;11
7;6;5;12;4;1;3;10;8;9;2;11;2;56508
2;42778;7;6;5;12;1;4;3;10;8;9;2;11
3;6;5;12;1;4;7;10;8;9;2;11;2;47864
2;42778;7;6;5;12;1;4;3;10;8;9;2;11
7;6;5;12;1;4;3;8;10;9;2;11;2;37398
2;37398;7;6;5;12;1;4;3;8;10;9;2;11
6;7;5;12;1;4;3;8;10;9;2;11;2;49842
2;37398;7;6;5;12;1;4;3;8;10;9;2;11
7;6;5;4;1;12;3;8;10;9;2;11;2;41760
2;41760;7;6;5;4;1;12;3;8;10;9;2;11
7;6;5;4;1;12;3;8;9;10;2;11;2;37282
2;37282;7;6;5;4;1;12;3;8;9;10;2;11
7;6;5;4;1;2;3;8;9;10;12;11;2;41394
2;41394;7;6;5;4;1;2;3;8;9;10;12;11
8;6;5;4;1;2;3;7;9;10;12;11;2;35408
2;35408;8;6;5;4;1;2;3;7;9;10;12;11
8;6;5;9;1;2;3;7;4;10;12;11;2;38608
2;38608;8;6;5;9;1;2;3;7;4;10;12;11
9;6;5;8;1;2;3;7;4;10;12;11;2;40358
3;40358;9;6;5;8;1;2;3;7;4;10;12;11
9;5;6;8;1;2;3;7;4;10;12;11;3;59506
3;40358;9;6;5;8;1;2;3;7;4;10;12;11
9;6;5;8;1;3;2;7;4;10;12;11;3;51354
3;51354;9;6;5;8;1;3;2;7;4;10;12;11
9;8;5;6;1;3;2;7;4;10;12;11;3;46702
3;46702;9;8;5;6;1;3;2;7;4;10;12;11
9;8;5;6;1;3;12;7;4;10;2;11;3;43074
3;43074;9;8;5;6;1;3;12;7;4;10;2;11
1;8;5;6;9;3;12;7;4;10;2;11;3;42498
3;42498;1;8;5;6;9;3;12;7;4;10;2;11
5;8;1;6;9;3;12;7;4;10;2;11;3;42088
3;42088;5;8;1;6;9;3;12;7;4;10;2;11
5;11;1;6;9;3;12;7;4;10;2;8;3;31364
3;31364;5;11;1;6;9;3;12;7;4;10;2;8
7;11;1;6;9;3;12;5;4;10;2;8;3;40050
3;40050;7;11;1;6;9;3;12;5;4;10;2;8
7;11;6;1;9;3;12;5;4;10;2;8;3;34776
3;34776;7;11;6;1;9;3;12;5;4;10;2;8
7;11;6;1;12;3;9;5;4;10;2;8;3;35156
3;35156;7;11;6;1;12;3;9;5;4;10;2;8
7;11;8;1;12;3;9;5;4;10;2;6;3;37196
3;35156;7;11;6;1;12;3;9;5;4;10;2;8
7;8;6;1;12;3;9;5;4;10;2;11;3;46420
3;46420;7;8;6;1;12;3;9;5;4;10;2;11
8;7;6;1;12;3;9;5;4;10;2;11;3;49040
3;49040;8;7;6;1;12;3;9;5;4;10;2;11
8;2;6;1;12;3;9;5;4;10;7;11;3;51418
3;51418;8;2;6;1;12;3;9;5;4;10;7;11
2;8;6;1;12;3;9;5;4;10;7;11;3;46554
3;46554;2;8;6;1;12;3;9;5;4;10;7;11
1;8;6;2;12;3;9;5;4;10;7;11;3;43988
3;43988;1;8;6;2;12;3;9;5;4;10;7;11
1;8;5;2;12;3;9;6;4;10;7;11;3;53000
3;53000;1;8;5;2;12;3;9;6;4;10;7;11
1;2;5;8;12;3;9;6;4;10;7;11;3;54500
3;54500;1;2;5;8;12;3;9;6;4;10;7;11
1;2;5;7;12;3;9;6;4;10;8;11;3;53002
3;53002;1;2;5;7;12;3;9;6;4;10;8;11
1;2;5;7;10;3;9;6;4;12;8;11;3;38606
4;38606;1;2;5;7;10;3;9;6;4;12;8;11
1;2;6;7;10;3;9;5;4;12;8;11;4;44954
4;44954;1;2;6;7;10;3;9;5;4;12;8;11
1;10;6;7;2;3;9;5;4;12;8;11;4;41056
4;41056;1;10;6;7;2;3;9;5;4;12;8;11
1;10;11;7;2;3;9;5;4;12;8;6;4;39884
4;39884;1;10;11;7;2;3;9;5;4;12;8;6
1;10;11;7;2;9;3;5;4;12;8;6;4;41224
4;41224;1;10;11;7;2;9;3;5;4;12;8;6
1;10;11;7;5;9;3;2;4;12;8;6;4;37890
4;37890;1;10;11;7;5;9;3;2;4;12;8;6
1;8;11;7;5;9;3;2;4;12;10;6;4;37894
4;37894;1;8;11;7;5;9;3;2;4;12;10;6
1;8;11;7;5;9;3;12;4;2;10;6;4;37718
4;37718;1;8;11;7;5;9;3;12;4;2;10;6
1;8;10;7;5;9;3;12;4;2;11;6;4;40838
4;40838;1;8;10;7;5;9;3;12;4;2;11;6
7;8;10;1;5;9;3;12;4;2;11;6;4;44894
4;40838;1;8;10;7;5;9;3;12;4;2;11;6
1;8;10;7;5;9;11;12;4;2;3;6;4;38580
4;38580;1;8;10;7;5;9;11;12;4;2;3;6
1;8;10;7;5;9;3;12;4;2;11;6;4;40838
4;40838;1;8;10;7;5;9;3;12;4;2;11;6
1;8;10;7;5;9;3;12;6;2;11;4;4;35194
4;35194;1;8;10;7;5;9;3;12;6;2;11;4
8;1;10;7;5;9;3;12;6;2;11;4;4;42078
4;42078;8;1;10;7;5;9;3;12;6;2;11;4
8;1;10;7;5;9;3;4;6;2;11;12;4;40744
4;40744;8;1;10;7;5;9;3;4;6;2;11;12
8;1;10;7;4;9;3;5;6;2;11;12;4;51226
4;51226;8;1;10;7;4;9;3;5;6;2;11;12
8;1;4;7;10;9;3;5;6;2;11;12;4;49762
4;49762;8;1;4;7;10;9;3;5;6;2;11;12
8;1;4;7;10;9;3;6;5;2;11;12;4;41392
4;41392;8;1;4;7;10;9;3;6;5;2;11;12
8;1;4;7;9;10;3;6;5;2;11;12;4;33112
4;33112;8;1;4;7;9;10;3;6;5;2;11;12
8;1;10;7;9;4;3;6;5;2;11;12;4;37714
4;33112;8;1;4;7;9;10;3;6;5;2;11;12
8;1;4;7;9;10;12;6;5;2;11;3;4;39178
5;39178;8;1;4;7;9;10;12;6;5;2;11;3
8;1;4;7;9;10;11;6;5;2;12;3;5;42412
5;42412;8;1;4;7;9;10;11;6;5;2;12;3
1;8;4;7;9;10;11;6;5;2;12;3;5;40858
5;40858;1;8;4;7;9;10;11;6;5;2;12;3
9;8;4;7;1;10;11;6;5;2;12;3;5;44074
5;44074;9;8;4;7;1;10;11;6;5;2;12;3
9;8;4;7;1;10;11;6;12;2;5;3;5;44214
5;44214;9;8;4;7;1;10;11;6;12;2;5;3
9;11;4;7;1;10;8;6;12;2;5;3;5;52066
5;44214;9;8;4;7;1;10;11;6;12;2;5;3
9;8;4;11;1;10;7;6;12;2;5;3;5;43254
5;43254;9;8;4;11;1;10;7;6;12;2;5;3
8;9;4;11;1;10;7;6;12;2;5;3;5;47492
5;47492;8;9;4;11;1;10;7;6;12;2;5;3
8;9;4;11;3;10;7;6;12;2;5;1;5;47506
5;47506;8;9;4;11;3;10;7;6;12;2;5;1
8;4;9;11;3;10;7;6;12;2;5;1;5;44310
5;44310;8;4;9;11;3;10;7;6;12;2;5;1
8;4;9;1;3;10;7;6;12;2;5;11;5;48366
5;48366;8;4;9;1;3;10;7;6;12;2;5;11
8;4;9;1;3;10;7;11;12;2;5;6;5;50876
5;50876;8;4;9;1;3;10;7;11;12;2;5;6
8;4;9;1;3;6;7;11;12;2;5;10;5;43400
5;43400;8;4;9;1;3;6;7;11;12;2;5;10
8;12;9;1;3;6;7;11;4;2;5;10;5;55414
5;55414;8;12;9;1;3;6;7;11;4;2;5;10
8;12;7;1;3;6;9;11;4;2;5;10;5;56738
5;56738;8;12;7;1;3;6;9;11;4;2;5;10
