"X1";"X52634";"X9";"X6";"X2";"X1.1";"X7";"X10";"X5";"X8";"X12";"X3";"X4";"X11"
1;52634;9;6;2;1;7;10;5;8;12;3;4;11
9;5;2;1;7;10;6;8;12;3;4;11;1;51122
1;51122;9;5;2;1;7;10;6;8;12;3;4;11
9;5;12;1;7;10;6;8;2;3;4;11;1;46914
1;46914;9;5;12;1;7;10;6;8;2;3;4;11
9;5;12;1;7;10;6;4;2;3;8;11;1;40928
1;40928;9;5;12;1;7;10;6;4;2;3;8;11
9;5;12;1;6;10;7;4;2;3;8;11;1;41342
1;41342;9;5;12;1;6;10;7;4;2;3;8;11
9;12;5;1;6;10;7;4;2;3;8;11;1;45374
1;45374;9;12;5;1;6;10;7;4;2;3;8;11
9;8;5;1;6;10;7;4;2;3;12;11;1;31894
1;31894;9;8;5;1;6;10;7;4;2;3;12;11
9;8;5;11;6;10;7;4;2;3;12;1;1;30054
1;30054;9;8;5;11;6;10;7;4;2;3;12;1
9;8;5;4;6;10;7;11;2;3;12;1;1;33482
1;33482;9;8;5;4;6;10;7;11;2;3;12;1
12;8;5;4;6;10;7;11;2;3;9;1;1;41768
1;41768;12;8;5;4;6;10;7;11;2;3;9;1
12;8;5;2;6;10;7;11;4;3;9;1;1;39638
1;39638;12;8;5;2;6;10;7;11;4;3;9;1
12;8;5;2;6;10;7;9;4;3;11;1;1;46588
1;46588;12;8;5;2;6;10;7;9;4;3;11;1
12;8;1;2;6;10;7;9;4;3;11;5;1;44016
1;44016;12;8;1;2;6;10;7;9;4;3;11;5
12;3;1;2;6;10;7;9;4;8;11;5;1;46186
1;46186;12;3;1;2;6;10;7;9;4;8;11;5
12;1;3;2;6;10;7;9;4;8;11;5;1;45790
1;45790;12;1;3;2;6;10;7;9;4;8;11;5
12;1;5;2;6;10;7;9;4;8;11;3;1;46256
1;46256;12;1;5;2;6;10;7;9;4;8;11;3
12;2;5;1;6;10;7;9;4;8;11;3;1;43102
1;43102;12;2;5;1;6;10;7;9;4;8;11;3
12;2;5;1;6;7;10;9;4;8;11;3;1;41206
1;41206;12;2;5;1;6;7;10;9;4;8;11;3
8;2;5;1;6;7;10;9;4;12;11;3;1;44492
1;44492;8;2;5;1;6;7;10;9;4;12;11;3
8;2;5;6;1;7;10;9;4;12;11;3;1;43652
1;43652;8;2;5;6;1;7;10;9;4;12;11;3
8;2;5;6;1;4;10;9;7;12;11;3;1;43836
2;43836;8;2;5;6;1;4;10;9;7;12;11;3
8;2;5;6;1;4;10;9;11;12;7;3;2;43880
2;43880;8;2;5;6;1;4;10;9;11;12;7;3
8;2;5;6;4;1;10;9;11;12;7;3;2;44528
2;44528;8;2;5;6;4;1;10;9;11;12;7;3
3;2;5;6;4;1;10;9;11;12;7;8;2;44804
2;44804;3;2;5;6;4;1;10;9;11;12;7;8
3;2;5;12;4;1;10;9;11;6;7;8;2;42350
2;42350;3;2;5;12;4;1;10;9;11;6;7;8
3;2;5;12;8;1;10;9;11;6;7;4;2;43038
2;43038;3;2;5;12;8;1;10;9;11;6;7;4
3;7;5;12;8;1;10;9;11;6;2;4;2;36920
2;36920;3;7;5;12;8;1;10;9;11;6;2;4
3;7;5;12;8;9;10;1;11;6;2;4;2;47466
2;47466;3;7;5;12;8;9;10;1;11;6;2;4
12;7;5;3;8;9;10;1;11;6;2;4;2;46210
2;46210;12;7;5;3;8;9;10;1;11;6;2;4
12;7;5;3;6;9;10;1;11;8;2;4;2;37030
2;37030;12;7;5;3;6;9;10;1;11;8;2;4
12;7;5;3;6;9;4;1;11;8;2;10;2;38962
2;38962;12;7;5;3;6;9;4;1;11;8;2;10
12;8;5;3;6;9;4;1;11;7;2;10;2;43412
2;38962;12;7;5;3;6;9;4;1;11;8;2;10
1;7;5;3;6;9;4;12;11;8;2;10;2;45812
2;45812;1;7;5;3;6;9;4;12;11;8;2;10
1;10;5;3;6;9;4;12;11;8;2;7;2;57610
2;57610;1;10;5;3;6;9;4;12;11;8;2;7
1;10;5;3;4;9;6;12;11;8;2;7;2;52146
2;52146;1;10;5;3;4;9;6;12;11;8;2;7
1;10;5;2;4;9;6;12;11;8;3;7;2;49868
2;49868;1;10;5;2;4;9;6;12;11;8;3;7
3;10;5;2;4;9;6;12;11;8;1;7;2;57616
2;57616;3;10;5;2;4;9;6;12;11;8;1;7
3;10;5;2;6;9;4;12;11;8;1;7;2;65660
2;65660;3;10;5;2;6;9;4;12;11;8;1;7
3;10;11;2;6;9;4;12;5;8;1;7;2;64212
2;64212;3;10;11;2;6;9;4;12;5;8;1;7
3;6;11;2;10;9;4;12;5;8;1;7;2;63020
2;63020;3;6;11;2;10;9;4;12;5;8;1;7
3;6;11;2;4;9;10;12;5;8;1;7;2;59684
3;59684;3;6;11;2;4;9;10;12;5;8;1;7
3;6;7;2;4;9;10;12;5;8;1;11;3;52272
3;52272;3;6;7;2;4;9;10;12;5;8;1;11
3;6;7;2;10;9;4;12;5;8;1;11;3;57532
3;57532;3;6;7;2;10;9;4;12;5;8;1;11
3;1;7;2;10;9;4;12;5;8;6;11;3;57298
3;57298;3;1;7;2;10;9;4;12;5;8;6;11
3;1;7;2;10;9;4;12;8;5;6;11;3;55204
3;55204;3;1;7;2;10;9;4;12;8;5;6;11
3;1;7;6;10;9;4;12;8;5;2;11;3;57642
3;57642;3;1;7;6;10;9;4;12;8;5;2;11
3;1;7;6;10;9;4;12;8;11;2;5;3;46506
3;46506;3;1;7;6;10;9;4;12;8;11;2;5
3;1;7;6;12;9;4;10;8;11;2;5;3;55830
3;55830;3;1;7;6;12;9;4;10;8;11;2;5
3;6;7;1;12;9;4;10;8;11;2;5;3;54376
3;54376;3;6;7;1;12;9;4;10;8;11;2;5
3;6;7;11;12;9;4;10;8;1;2;5;3;48196
3;48196;3;6;7;11;12;9;4;10;8;1;2;5
3;6;9;11;12;7;4;10;8;1;2;5;3;59930
3;59930;3;6;9;11;12;7;4;10;8;1;2;5
3;9;6;11;12;7;4;10;8;1;2;5;3;43094
3;43094;3;9;6;11;12;7;4;10;8;1;2;5
3;9;6;11;8;7;4;10;12;1;2;5;3;40824
3;40824;3;9;6;11;8;7;4;10;12;1;2;5
3;10;6;11;8;7;4;9;12;1;2;5;3;46552
3;46552;3;10;6;11;8;7;4;9;12;1;2;5
3;10;11;6;8;7;4;9;12;1;2;5;3;50614
3;50614;3;10;11;6;8;7;4;9;12;1;2;5
3;10;11;6;8;7;9;4;12;1;2;5;3;39858
3;39858;3;10;11;6;8;7;9;4;12;1;2;5
7;10;11;6;8;3;9;4;12;1;2;5;3;41166
3;41166;7;10;11;6;8;3;9;4;12;1;2;5
7;8;11;6;10;3;9;4;12;1;2;5;3;48814
3;48814;7;8;11;6;10;3;9;4;12;1;2;5
7;8;11;6;10;12;9;4;3;1;2;5;3;53424
3;48814;7;8;11;6;10;3;9;4;12;1;2;5
7;8;10;6;11;3;9;4;12;1;2;5;3;52444
3;52444;7;8;10;6;11;3;9;4;12;1;2;5
7;8;5;6;11;3;9;4;12;1;2;10;3;51280
4;51280;7;8;5;6;11;3;9;4;12;1;2;10
1;8;5;6;11;3;9;4;12;7;2;10;4;44972
4;44972;1;8;5;6;11;3;9;4;12;7;2;10
9;8;5;6;11;3;1;4;12;7;2;10;4;44062
4;44062;9;8;5;6;11;3;1;4;12;7;2;10
9;8;1;6;11;3;5;4;12;7;2;10;4;41978
4;41978;9;8;1;6;11;3;5;4;12;7;2;10
9;10;1;6;11;3;5;4;12;7;2;8;4;50026
4;50026;9;10;1;6;11;3;5;4;12;7;2;8
2;10;1;6;11;3;5;4;12;7;9;8;4;49752
4;49752;2;10;1;6;11;3;5;4;12;7;9;8
2;10;9;6;11;3;5;4;12;7;1;8;4;54564
4;54564;2;10;9;6;11;3;5;4;12;7;1;8
2;10;9;6;11;5;3;4;12;7;1;8;4;46306
4;46306;2;10;9;6;11;5;3;4;12;7;1;8
2;10;9;6;7;5;3;4;12;11;1;8;4;41284
4;41284;2;10;9;6;7;5;3;4;12;11;1;8
2;10;5;6;7;9;3;4;12;11;1;8;4;49470
4;49470;2;10;5;6;7;9;3;4;12;11;1;8
11;10;5;6;7;9;3;4;12;2;1;8;4;50344
4;50344;11;10;5;6;7;9;3;4;12;2;1;8
11;10;5;6;1;9;3;4;12;2;7;8;4;46120
4;46120;11;10;5;6;1;9;3;4;12;2;7;8
11;10;5;6;9;1;3;4;12;2;7;8;4;37370
4;37370;11;10;5;6;9;1;3;4;12;2;7;8
8;10;5;6;9;1;3;4;12;2;7;11;4;30444
4;30444;8;10;5;6;9;1;3;4;12;2;7;11
8;10;5;3;9;1;6;4;12;2;7;11;4;33758
4;33758;8;10;5;3;9;1;6;4;12;2;7;11
8;10;5;3;9;1;6;4;12;11;7;2;4;40094
4;40094;8;10;5;3;9;1;6;4;12;11;7;2
8;10;11;3;9;1;6;4;12;5;7;2;4;41300
4;41300;8;10;11;3;9;1;6;4;12;5;7;2
8;10;11;3;9;1;12;4;6;5;7;2;4;45612
4;45612;8;10;11;3;9;1;12;4;6;5;7;2
8;4;11;3;9;1;12;10;6;5;7;2;4;37516
4;37516;8;4;11;3;9;1;12;10;6;5;7;2
8;4;11;3;10;1;12;9;6;5;7;2;4;45292
4;45292;8;4;11;3;10;1;12;9;6;5;7;2
10;4;11;3;8;1;12;9;6;5;7;2;4;47602
5;47602;10;4;11;3;8;1;12;9;6;5;7;2
2;4;11;3;8;1;12;9;6;5;7;10;5;46194
5;46194;2;4;11;3;8;1;12;9;6;5;7;10
2;11;4;3;8;1;12;9;6;5;7;10;5;60174
5;60174;2;11;4;3;8;1;12;9;6;5;7;10
2;11;4;10;8;1;12;9;6;5;7;3;5;58396
5;58396;2;11;4;10;8;1;12;9;6;5;7;3
2;11;4;7;8;1;12;9;6;5;10;3;5;55316
5;55316;2;11;4;7;8;1;12;9;6;5;10;3
2;11;4;10;8;1;12;9;6;5;7;3;5;58396
5;58396;2;11;4;10;8;1;12;9;6;5;7;3
2;11;4;10;8;1;12;9;6;7;5;3;5;52220
5;52220;2;11;4;10;8;1;12;9;6;7;5;3
1;11;4;10;8;2;12;9;6;7;5;3;5;46854
5;46854;1;11;4;10;8;2;12;9;6;7;5;3
1;11;5;10;8;2;12;9;6;7;4;3;5;45278
5;45278;1;11;5;10;8;2;12;9;6;7;4;3
1;11;5;10;8;2;12;9;6;3;4;7;5;51806
