"X1";"X28970";"X8";"X11";"X5";"X1.1";"X7";"X6";"X9";"X10";"X3";"X2";"X4";"X12"
1;28970;8;11;5;1;7;6;9;10;3;2;4;12
8;11;5;1;7;6;9;12;3;2;4;10;1;29946
1;29946;8;11;5;1;7;6;9;12;3;2;4;10
8;11;5;1;7;10;9;12;3;2;4;6;1;43230
1;29946;8;11;5;1;7;6;9;12;3;2;4;10
8;12;5;1;7;6;9;11;3;2;4;10;1;53614
1;29946;8;11;5;1;7;6;9;12;3;2;4;10
8;11;5;9;7;6;1;12;3;2;4;10;1;29522
1;29522;8;11;5;9;7;6;1;12;3;2;4;10
3;11;5;9;7;6;1;12;8;2;4;10;1;36180
1;29522;8;11;5;9;7;6;1;12;3;2;4;10
8;11;5;9;7;6;1;3;12;2;4;10;1;38100
1;29522;8;11;5;9;7;6;1;12;3;2;4;10
8;11;5;9;7;6;1;12;3;10;4;2;1;39122
1;29522;8;11;5;9;7;6;1;12;3;2;4;10
8;11;5;9;7;6;1;2;3;12;4;10;1;33078
1;29522;8;11;5;9;7;6;1;12;3;2;4;10
8;5;11;9;7;6;1;12;3;2;4;10;1;40494
1;40494;8;5;11;9;7;6;1;12;3;2;4;10
8;5;11;1;7;6;9;12;3;2;4;10;1;39670
1;39670;8;5;11;1;7;6;9;12;3;2;4;10
8;5;4;1;7;6;9;12;3;2;11;10;1;44124
1;44124;8;5;4;1;7;6;9;12;3;2;11;10
8;2;4;1;7;6;9;12;3;5;11;10;1;57496
1;57496;8;2;4;1;7;6;9;12;3;5;11;10
8;2;5;1;7;6;9;12;3;4;11;10;1;63112
1;63112;8;2;5;1;7;6;9;12;3;4;11;10
8;2;5;1;7;6;4;12;3;9;11;10;1;55196
1;55196;8;2;5;1;7;6;4;12;3;9;11;10
5;2;8;1;7;6;4;12;3;9;11;10;1;49170
1;49170;5;2;8;1;7;6;4;12;3;9;11;10
7;2;8;1;5;6;4;12;3;9;11;10;1;37150
1;37150;7;2;8;1;5;6;4;12;3;9;11;10
4;2;8;1;5;6;7;12;3;9;11;10;1;47776
1;47776;4;2;8;1;5;6;7;12;3;9;11;10
7;2;8;1;5;6;4;12;3;9;11;10;1;37150
1;37150;7;2;8;1;5;6;4;12;3;9;11;10
7;12;8;1;5;6;4;2;3;9;11;10;1;34506
1;34506;7;12;8;1;5;6;4;2;3;9;11;10
7;12;8;1;5;6;9;2;3;4;11;10;1;33530
2;33530;7;12;8;1;5;6;9;2;3;4;11;10
7;12;8;3;5;6;9;2;1;4;11;10;2;35270
2;35270;7;12;8;3;5;6;9;2;1;4;11;10
7;12;8;3;5;6;9;2;4;1;11;10;2;34324
2;34324;7;12;8;3;5;6;9;2;4;1;11;10
7;12;9;3;5;6;8;2;4;1;11;10;2;31988
2;31988;7;12;9;3;5;6;8;2;4;1;11;10
7;12;9;3;5;6;8;2;11;1;4;10;2;31964
2;31964;7;12;9;3;5;6;8;2;11;1;4;10
7;12;11;3;5;6;8;2;9;1;4;10;2;30562
2;30562;7;12;11;3;5;6;8;2;9;1;4;10
7;12;11;3;5;6;8;2;9;10;4;1;2;32098
2;32098;7;12;11;3;5;6;8;2;9;10;4;1
7;12;11;3;1;6;8;2;9;10;4;5;2;32368
2;32368;7;12;11;3;1;6;8;2;9;10;4;5
7;12;11;3;8;6;1;2;9;10;4;5;2;40344
2;40344;7;12;11;3;8;6;1;2;9;10;4;5
7;12;11;3;8;6;1;2;9;10;5;4;2;44974
2;44974;7;12;11;3;8;6;1;2;9;10;5;4
10;12;11;3;8;6;1;2;9;7;5;4;2;45270
2;44974;7;12;11;3;8;6;1;2;9;10;5;4
7;12;11;3;8;6;1;2;9;5;10;4;2;56440
2;44974;7;12;11;3;8;6;1;2;9;10;5;4
7;12;11;3;8;6;1;4;9;10;5;2;2;45094
2;45094;7;12;11;3;8;6;1;4;9;10;5;2
7;12;11;3;6;8;1;4;9;10;5;2;2;54320
2;54320;7;12;11;3;6;8;1;4;9;10;5;2
7;12;11;5;6;8;1;4;9;10;3;2;2;51476
2;51476;7;12;11;5;6;8;1;4;9;10;3;2
7;3;11;5;6;8;1;4;9;10;12;2;2;50704
2;50704;7;3;11;5;6;8;1;4;9;10;12;2
11;3;7;5;6;8;1;4;9;10;12;2;2;39100
2;39100;11;3;7;5;6;8;1;4;9;10;12;2
11;6;7;5;3;8;1;4;9;10;12;2;2;32088
2;32088;11;6;7;5;3;8;1;4;9;10;12;2
11;6;7;9;3;8;1;4;5;10;12;2;2;36116
2;32088;11;6;7;5;3;8;1;4;9;10;12;2
5;6;7;11;3;8;1;4;9;10;12;2;2;38804
2;38804;5;6;7;11;3;8;1;4;9;10;12;2
7;6;5;11;3;8;1;4;9;10;12;2;2;55142
3;55142;7;6;5;11;3;8;1;4;9;10;12;2
7;8;5;11;3;6;1;4;9;10;12;2;3;52790
3;52790;7;8;5;11;3;6;1;4;9;10;12;2
7;8;2;11;3;6;1;4;9;10;12;5;3;48166
3;48166;7;8;2;11;3;6;1;4;9;10;12;5
7;8;11;2;3;6;1;4;9;10;12;5;3;49066
3;49066;7;8;11;2;3;6;1;4;9;10;12;5
7;4;11;2;3;6;1;8;9;10;12;5;3;26230
3;26230;7;4;11;2;3;6;1;8;9;10;12;5
5;4;11;2;3;6;1;8;9;10;12;7;3;31932
3;31932;5;4;11;2;3;6;1;8;9;10;12;7
2;4;11;5;3;6;1;8;9;10;12;7;3;28390
3;28390;2;4;11;5;3;6;1;8;9;10;12;7
2;4;10;5;3;6;1;8;9;11;12;7;3;29992
3;29992;2;4;10;5;3;6;1;8;9;11;12;7
2;4;5;10;3;6;1;8;9;11;12;7;3;31524
3;29992;2;4;10;5;3;6;1;8;9;11;12;7
2;4;10;5;3;8;1;6;9;11;12;7;3;33396
3;33396;2;4;10;5;3;8;1;6;9;11;12;7
4;2;10;5;3;8;1;6;9;11;12;7;3;35830
3;35830;4;2;10;5;3;8;1;6;9;11;12;7
4;2;10;5;3;8;1;6;7;11;12;9;3;34882
3;34882;4;2;10;5;3;8;1;6;7;11;12;9
4;2;10;5;3;8;1;9;7;11;12;6;3;39804
3;39804;4;2;10;5;3;8;1;9;7;11;12;6
10;2;4;5;3;8;1;9;7;11;12;6;3;40926
3;40926;10;2;4;5;3;8;1;9;7;11;12;6
10;2;9;5;3;8;1;4;7;11;12;6;3;49570
3;49570;10;2;9;5;3;8;1;4;7;11;12;6
10;2;9;5;3;8;7;4;1;11;12;6;3;50548
3;50548;10;2;9;5;3;8;7;4;1;11;12;6
10;2;9;5;3;8;6;4;1;11;12;7;3;54848
3;54848;10;2;9;5;3;8;6;4;1;11;12;7
10;7;9;5;3;8;6;4;1;11;12;2;3;51490
3;51490;10;7;9;5;3;8;6;4;1;11;12;2
10;7;9;5;1;8;6;4;3;11;12;2;3;45914
3;45914;10;7;9;5;1;8;6;4;3;11;12;2
10;7;9;5;1;8;6;11;3;4;12;2;3;42722
3;42722;10;7;9;5;1;8;6;11;3;4;12;2
10;7;9;5;1;11;6;8;3;4;12;2;3;32730
4;32730;10;7;9;5;1;11;6;8;3;4;12;2
10;7;9;5;1;11;6;8;2;4;12;3;4;30178
4;30178;10;7;9;5;1;11;6;8;2;4;12;3
12;7;9;5;1;11;6;8;2;4;10;3;4;44170
4;44170;12;7;9;5;1;11;6;8;2;4;10;3
12;7;9;5;1;11;6;4;2;8;10;3;4;47276
4;47276;12;7;9;5;1;11;6;4;2;8;10;3
12;7;9;5;1;11;6;4;3;8;10;2;4;49100
4;49100;12;7;9;5;1;11;6;4;3;8;10;2
12;4;9;5;1;11;6;7;3;8;10;2;4;68044
4;49100;12;7;9;5;1;11;6;4;3;8;10;2
12;7;9;5;1;10;6;4;3;8;11;2;4;40788
4;40788;12;7;9;5;1;10;6;4;3;8;11;2
12;7;9;5;1;10;6;8;3;4;11;2;4;37830
4;37830;12;7;9;5;1;10;6;8;3;4;11;2
12;7;9;5;1;10;6;3;8;4;11;2;4;32622
