"X25";"X26";"X12";"X8";"X22";"X6";"X1";"X30";"X32";"X19";"X3";"X4";"X31";"X28";"X5";"X2";"X10";"X16";"X24";"X20";"X17";"X11";"X23";"X21";"X15";"X27";"X9";"X7";"X14";"X29";"X13";"X18";"generation"
25;26;12;8;22;6;1;30;32;19;3;4;31;28;5;2;10;16;24;20;17;11;23;21;15;27;9;7;14;29;13;18;1
31;26;12;8;22;21;1;14;9;19;3;4;15;28;5;27;10;16;24;20;29;11;23;6;13;2;32;25;30;7;17;18;1
20;2;23;7;21;32;10;6;30;11;1;9;22;17;15;18;5;31;8;29;3;19;4;12;14;27;13;25;16;26;24;28;1
11;17;1;30;10;18;15;2;22;26;21;7;28;27;20;5;23;31;8;29;3;12;4;19;25;32;13;14;16;6;24;9;1
10;18;5;15;26;24;22;23;11;31;7;32;29;1;30;28;17;9;2;4;21;8;3;6;14;27;13;25;16;12;20;19;1
15;19;13;20;10;18;22;23;11;31;7;32;16;1;30;28;17;9;25;4;27;8;14;6;3;21;5;2;29;12;24;26;1
11;17;1;8;10;18;15;2;22;26;21;3;31;32;20;5;19;29;30;4;7;23;28;12;14;27;13;25;16;6;24;9;1
11;17;1;8;10;18;15;2;22;26;21;3;31;32;20;5;19;29;30;4;7;23;28;12;14;27;13;25;16;6;24;9;1
26;14;8;9;31;7;21;19;1;12;3;4;15;28;5;27;10;16;24;20;29;11;23;6;13;2;32;25;30;17;22;18;1
7;27;12;8;3;20;4;16;9;19;22;1;24;6;11;26;18;14;17;21;15;23;5;28;13;2;32;25;30;29;31;10;1
11;17;1;8;10;18;15;2;22;26;21;3;31;6;20;5;19;29;30;4;7;23;28;12;14;27;13;25;24;32;9;16;1
31;20;11;17;5;21;8;1;32;10;26;2;22;18;3;15;19;29;30;4;7;23;28;12;14;27;13;25;16;6;9;24;1
11;22;1;8;10;18;15;2;20;26;32;28;24;25;17;5;19;29;30;4;7;23;3;12;14;27;13;21;16;6;31;9;1
26;5;10;18;22;6;11;3;20;23;32;28;24;25;17;16;8;29;30;31;2;4;19;21;15;27;9;7;14;1;13;12;1
11;17;1;8;10;18;16;2;22;6;21;3;31;32;20;5;19;29;30;4;7;23;9;12;14;27;13;25;15;26;24;28;1
11;17;1;8;10;18;15;2;22;26;21;3;31;32;20;27;5;13;7;29;9;12;4;19;25;6;30;16;23;14;24;28;1
27;30;10;23;28;6;7;2;20;14;1;9;13;17;16;18;5;31;8;29;3;12;4;19;25;32;22;11;15;26;24;21;1
20;3;23;11;12;26;10;6;30;18;32;28;24;25;17;16;8;1;5;31;2;4;19;21;15;27;9;7;14;29;13;22;1
30;12;10;18;22;6;11;3;20;23;32;28;24;25;17;16;8;1;5;31;2;4;19;21;15;27;9;7;14;29;13;26;1
9;11;10;18;17;1;15;2;22;26;21;3;31;32;20;5;19;29;30;4;7;23;28;12;14;27;13;25;16;6;24;8;1
