"X21";"X5";"X4";"X16";"X9";"X1";"X12";"X30";"X24";"X23";"X8";"X6";"X27";"X19";"X31";"X10";"X25";"X18";"X14";"X26";"X17";"X15";"X13";"X22";"X29";"X3";"X2";"X20";"X11";"X7";"X32";"X28";"generation"
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
21;5;4;16;15;2;12;30;24;23;22;6;29;19;17;10;25;18;14;32;31;9;26;8;27;11;20;1;3;7;13;28;1
22;30;29;18;6;26;19;4;1;24;10;14;12;15;13;5;17;16;21;32;31;9;23;8;27;3;2;20;11;7;25;28;1
22;18;29;7;6;23;19;4;2;27;3;26;12;15;13;8;17;16;20;32;31;25;14;10;24;9;21;30;5;1;11;28;1
22;18;6;7;23;28;19;4;2;24;10;14;12;15;13;5;17;16;21;32;31;9;26;3;25;29;8;30;27;1;11;20;1
30;25;12;6;28;22;24;23;14;13;2;8;4;7;1;5;17;16;21;32;31;9;26;3;27;11;20;10;29;19;18;15;1
5;25;12;3;28;17;31;11;14;13;9;8;27;7;1;23;22;15;16;30;24;2;20;6;26;4;29;19;10;18;32;21;1
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
22;3;6;7;23;17;26;15;31;12;13;16;19;32;2;27;28;25;8;4;18;29;14;10;24;9;21;30;5;1;11;20;1
22;3;6;7;23;17;26;18;31;12;13;16;1;32;2;27;28;25;8;4;15;5;14;10;24;9;21;30;29;19;11;20;1
22;3;6;21;23;17;26;15;31;12;13;16;19;32;2;27;28;25;8;4;18;24;9;10;29;14;7;30;5;1;11;20;1
3;31;26;25;19;21;10;24;30;12;17;28;5;18;15;13;27;6;23;2;22;16;32;8;29;14;7;9;4;1;11;20;1
21;5;4;6;9;1;12;30;24;23;13;16;19;32;2;10;25;18;14;26;17;15;8;22;29;3;31;20;11;7;27;28;1
22;9;6;1;23;17;26;15;31;12;13;16;19;5;21;27;28;25;8;4;18;24;14;10;29;3;2;20;11;7;32;30;1
22;3;6;7;23;17;26;15;31;12;13;16;19;32;2;27;28;25;8;4;18;29;14;10;24;9;21;30;5;1;11;20;1
22;3;6;7;23;17;26;15;31;12;11;16;19;32;2;27;28;25;8;4;18;29;14;10;24;9;21;30;5;1;13;20;1
22;3;6;7;23;17;26;15;31;12;13;16;19;32;2;27;28;25;8;21;18;29;14;30;24;5;4;10;9;1;11;20;1
3;11;6;7;23;17;26;15;31;12;13;16;19;32;2;27;28;25;8;30;24;1;20;9;14;5;4;10;29;22;18;21;1
18;3;25;7;10;17;26;15;31;12;13;24;19;14;4;11;27;6;23;2;22;16;32;8;29;9;21;30;5;1;28;20;1
3;31;26;25;19;7;8;29;32;12;17;28;20;18;15;11;27;6;23;2;22;16;14;10;24;9;21;30;5;1;13;4;1
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
21;5;4;14;9;31;12;26;17;10;25;8;27;7;1;23;22;15;16;30;24;2;20;6;29;3;18;13;11;19;32;28;1
32;25;31;3;28;17;12;30;24;23;8;6;27;1;7;13;22;15;16;11;14;2;20;9;26;5;4;10;29;19;18;21;1
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
21;5;4;16;9;20;12;30;24;23;11;6;27;19;31;10;32;7;14;26;17;15;13;22;29;3;2;1;8;18;25;28;1
22;4;29;7;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;3;21;11;20;2;5;16;32;28;1
31;26;19;3;1;21;10;24;30;12;17;28;20;18;15;11;27;6;23;2;22;16;32;8;29;14;7;9;4;13;25;5;1
22;30;29;7;6;23;19;4;2;24;10;14;12;15;13;5;17;16;21;32;31;9;28;3;27;11;20;1;8;18;25;26;1
3;31;26;25;19;21;10;24;30;12;17;5;20;18;15;11;27;6;23;2;22;16;13;8;29;14;1;9;4;7;32;28;1
3;31;26;25;19;21;10;24;30;12;17;28;20;18;15;11;27;6;23;2;22;5;13;8;29;1;4;16;14;7;32;9;1
22;3;6;7;23;17;26;15;31;12;13;16;19;32;2;27;28;25;8;4;18;29;14;10;24;9;21;30;5;1;11;20;1
22;3;6;7;23;17;26;15;31;12;13;16;19;32;2;27;28;25;8;4;18;29;14;10;24;9;21;30;5;1;11;20;1
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
21;5;4;16;9;1;12;30;24;23;8;6;27;19;31;10;25;18;14;26;17;15;13;22;29;3;2;20;11;7;32;28;1
6;8;4;18;9;1;27;30;23;24;10;14;12;15;13;5;17;16;21;32;25;19;31;22;29;3;2;20;11;7;26;28;1
