"X1";"X54622";"X9";"X5";"X12";"X2";"X7";"X8";"X1.1";"X3";"X11";"X6";"X10";"X4"
1;54622;9;5;12;2;7;8;1;3;11;6;10;4
9;5;12;2;7;8;4;3;11;6;10;1;1;58542
1;58542;9;5;12;2;7;8;4;3;11;6;10;1
5;9;12;2;7;8;4;3;11;6;10;1;1;61992
1;61992;5;9;12;2;7;8;4;3;11;6;10;1
5;10;12;2;7;8;4;3;11;6;9;1;1;43762
1;43762;5;10;12;2;7;8;4;3;11;6;9;1
5;7;12;2;10;8;4;3;11;6;9;1;1;55224
1;55224;5;7;12;2;10;8;4;3;11;6;9;1
5;7;12;8;10;2;4;3;11;6;9;1;1;43218
1;43218;5;7;12;8;10;2;4;3;11;6;9;1
5;7;12;8;10;2;4;3;11;9;6;1;1;36098
1;36098;5;7;12;8;10;2;4;3;11;9;6;1
5;7;12;8;4;2;10;3;11;9;6;1;1;42772
1;42772;5;7;12;8;4;2;10;3;11;9;6;1
4;7;12;8;5;2;10;3;11;9;6;1;1;50838
1;50838;4;7;12;8;5;2;10;3;11;9;6;1
4;7;12;1;5;2;10;3;11;9;6;8;1;47604
1;47604;4;7;12;1;5;2;10;3;11;9;6;8
4;7;12;1;5;2;10;6;11;9;3;8;1;43856
1;43856;4;7;12;1;5;2;10;6;11;9;3;8
4;11;12;1;5;2;10;6;7;9;3;8;1;56574
1;56574;4;11;12;1;5;2;10;6;7;9;3;8
4;11;12;1;5;7;10;6;2;9;3;8;1;53396
1;53396;4;11;12;1;5;7;10;6;2;9;3;8
4;11;12;1;5;7;6;10;2;9;3;8;1;57348
1;57348;4;11;12;1;5;7;6;10;2;9;3;8
4;11;12;1;5;7;6;8;2;9;3;10;1;54796
1;54796;4;11;12;1;5;7;6;8;2;9;3;10
4;11;12;1;5;7;10;8;2;9;3;6;1;55576
1;55576;4;11;12;1;5;7;10;8;2;9;3;6
4;11;12;3;5;7;10;8;2;9;1;6;1;53200
1;53200;4;11;12;3;5;7;10;8;2;9;1;6
4;11;12;3;5;7;10;8;9;2;1;6;1;63712
1;63712;4;11;12;3;5;7;10;8;9;2;1;6
11;4;12;3;5;7;10;8;9;2;1;6;1;54562
1;54562;11;4;12;3;5;7;10;8;9;2;1;6
11;4;12;6;5;7;10;8;9;2;1;3;1;53188
1;53188;11;4;12;6;5;7;10;8;9;2;1;3
5;4;12;6;11;7;10;8;9;2;1;3;1;61792
2;61792;5;4;12;6;11;7;10;8;9;2;1;3
11;4;12;6;5;7;10;8;9;2;1;3;2;53188
2;53188;11;4;12;6;5;7;10;8;9;2;1;3
11;4;12;6;10;7;5;8;9;2;1;3;2;58258
2;58258;11;4;12;6;10;7;5;8;9;2;1;3
11;4;12;6;10;7;5;8;2;9;1;3;2;48930
2;48930;11;4;12;6;10;7;5;8;2;9;1;3
11;4;8;6;10;7;5;12;2;9;1;3;2;44314
2;44314;11;4;8;6;10;7;5;12;2;9;1;3
7;4;8;6;10;11;5;12;2;9;1;3;2;45026
2;45026;7;4;8;6;10;11;5;12;2;9;1;3
7;4;5;6;10;11;8;12;2;9;1;3;2;43338
2;43338;7;4;5;6;10;11;8;12;2;9;1;3
7;5;4;6;10;11;8;12;2;9;1;3;2;26550
2;26550;7;5;4;6;10;11;8;12;2;9;1;3
7;5;4;6;3;11;8;12;2;9;1;10;2;30222
2;30222;7;5;4;6;3;11;8;12;2;9;1;10
7;5;4;6;9;11;8;12;2;3;1;10;2;33782
2;33782;7;5;4;6;9;11;8;12;2;3;1;10
12;5;4;6;9;11;8;7;2;3;1;10;2;42110
2;42110;12;5;4;6;9;11;8;7;2;3;1;10
12;10;4;6;9;11;8;7;2;3;1;5;2;51576
2;51576;12;10;4;6;9;11;8;7;2;3;1;5
12;8;4;6;9;11;10;7;2;3;1;5;2;41232
2;41232;12;8;4;6;9;11;10;7;2;3;1;5
12;8;4;6;9;11;10;7;1;3;2;5;2;41166
2;41166;12;8;4;6;9;11;10;7;1;3;2;5
12;8;4;6;9;2;10;7;1;3;11;5;2;52814
2;52814;12;8;4;6;9;2;10;7;1;3;11;5
12;8;4;6;9;2;10;1;7;3;11;5;2;51974
2;51974;12;8;4;6;9;2;10;1;7;3;11;5
12;11;4;6;9;2;10;1;7;3;8;5;2;42556
2;42556;12;11;4;6;9;2;10;1;7;3;8;5
12;11;4;6;9;2;10;1;7;5;8;3;2;43516
2;43516;12;11;4;6;9;2;10;1;7;5;8;3
12;11;4;6;9;2;10;3;7;5;8;1;2;37574
2;37574;12;11;4;6;9;2;10;3;7;5;8;1
12;11;4;6;9;2;10;3;5;7;8;1;2;40078
2;40078;12;11;4;6;9;2;10;3;5;7;8;1
12;11;4;6;9;2;10;3;5;7;1;8;2;47294
3;47294;12;11;4;6;9;2;10;3;5;7;1;8
12;11;4;3;9;2;10;6;5;7;1;8;3;55636
3;47294;12;11;4;6;9;2;10;3;5;7;1;8
2;11;4;6;9;12;10;3;5;7;1;8;3;47786
3;47786;2;11;4;6;9;12;10;3;5;7;1;8
5;11;4;6;9;12;10;3;2;7;1;8;3;38014
3;38014;5;11;4;6;9;12;10;3;2;7;1;8
5;11;7;6;9;12;10;3;2;4;1;8;3;25228
3;25228;5;11;7;6;9;12;10;3;2;4;1;8
8;11;7;6;9;12;10;3;2;4;1;5;3;29344
3;29344;8;11;7;6;9;12;10;3;2;4;1;5
8;11;7;6;9;12;10;3;2;1;4;5;3;33106
3;33106;8;11;7;6;9;12;10;3;2;1;4;5
8;4;7;6;9;12;10;3;2;1;11;5;3;51950
3;51950;8;4;7;6;9;12;10;3;2;1;11;5
8;2;7;6;9;12;10;3;4;1;11;5;3;49626
3;49626;8;2;7;6;9;12;10;3;4;1;11;5
8;2;7;6;9;12;10;3;1;4;11;5;3;44550
3;44550;8;2;7;6;9;12;10;3;1;4;11;5
8;5;7;6;9;12;10;3;1;4;11;2;3;38478
3;38478;8;5;7;6;9;12;10;3;1;4;11;2
8;5;7;6;9;12;10;2;1;4;11;3;3;39234
3;39234;8;5;7;6;9;12;10;2;1;4;11;3
8;5;7;6;9;12;1;2;10;4;11;3;3;40504
3;40504;8;5;7;6;9;12;1;2;10;4;11;3
8;5;7;9;6;12;1;2;10;4;11;3;3;40944
3;40944;8;5;7;9;6;12;1;2;10;4;11;3
8;5;7;9;6;12;1;10;2;4;11;3;3;43254
3;43254;8;5;7;9;6;12;1;10;2;4;11;3
8;5;7;9;6;1;12;10;2;4;11;3;3;41718
3;41718;8;5;7;9;6;1;12;10;2;4;11;3
8;4;7;9;6;1;12;10;2;5;11;3;3;30932
3;30932;8;4;7;9;6;1;12;10;2;5;11;3
8;4;6;9;7;1;12;10;2;5;11;3;3;34000
3;34000;8;4;6;9;7;1;12;10;2;5;11;3
8;4;6;9;7;1;10;12;2;5;11;3;3;45920
3;45920;8;4;6;9;7;1;10;12;2;5;11;3
8;4;3;9;7;1;10;12;2;5;11;6;3;51428
3;51428;8;4;3;9;7;1;10;12;2;5;11;6
8;4;3;5;7;1;10;12;2;9;11;6;3;40558
4;40558;8;4;3;5;7;1;10;12;2;9;11;6
8;4;3;5;9;1;10;12;2;7;11;6;4;42264
4;42264;8;4;3;5;9;1;10;12;2;7;11;6
8;4;3;12;9;1;10;5;2;7;11;6;4;36770
4;36770;8;4;3;12;9;1;10;5;2;7;11;6
8;12;3;4;9;1;10;5;2;7;11;6;4;54274
4;54274;8;12;3;4;9;1;10;5;2;7;11;6
8;12;3;4;9;1;11;5;2;7;10;6;4;51880
4;51880;8;12;3;4;9;1;11;5;2;7;10;6
4;12;3;8;9;1;11;5;2;7;10;6;4;51278
4;51278;4;12;3;8;9;1;11;5;2;7;10;6
4;12;3;8;1;9;11;5;2;7;10;6;4;39418
4;39418;4;12;3;8;1;9;11;5;2;7;10;6
6;12;3;8;1;9;11;5;2;7;10;4;4;32704
4;32704;6;12;3;8;1;9;11;5;2;7;10;4
8;12;3;6;1;9;11;5;2;7;10;4;4;37096
4;37096;8;12;3;6;1;9;11;5;2;7;10;4
5;12;3;6;1;9;11;8;2;7;10;4;4;54588
4;37096;8;12;3;6;1;9;11;5;2;7;10;4
8;12;3;6;1;9;7;5;2;11;10;4;4;38932
4;38932;8;12;3;6;1;9;7;5;2;11;10;4
11;12;3;6;1;9;7;5;2;8;10;4;4;28570
4;28570;11;12;3;6;1;9;7;5;2;8;10;4
11;10;3;6;1;9;7;5;2;8;12;4;4;42922
4;28570;11;12;3;6;1;9;7;5;2;8;10;4
11;7;3;6;1;9;12;5;2;8;10;4;4;36022
4;36022;11;7;3;6;1;9;12;5;2;8;10;4
11;7;3;6;4;9;12;5;2;8;10;1;4;37470
4;37470;11;7;3;6;4;9;12;5;2;8;10;1
11;7;6;3;4;9;12;5;2;8;10;1;4;39094
4;39094;11;7;6;3;4;9;12;5;2;8;10;1
1;7;6;3;4;9;12;5;2;8;10;11;4;27056
4;27056;1;7;6;3;4;9;12;5;2;8;10;11
1;7;12;3;4;9;6;5;2;8;10;11;4;27900
4;27900;1;7;12;3;4;9;6;5;2;8;10;11
1;7;12;3;10;9;6;5;2;8;4;11;4;26604
4;26604;1;7;12;3;10;9;6;5;2;8;4;11
1;11;12;3;10;9;6;5;2;8;4;7;4;39000
4;26604;1;7;12;3;10;9;6;5;2;8;4;11
1;7;12;3;10;8;6;5;2;9;4;11;4;45938
5;26604;1;7;12;3;10;9;6;5;2;8;4;11
2;7;12;3;10;9;6;5;1;8;4;11;5;31966
5;31966;2;7;12;3;10;9;6;5;1;8;4;11
2;7;12;3;10;9;6;4;1;8;5;11;5;36280
5;36280;2;7;12;3;10;9;6;4;1;8;5;11
2;11;12;3;10;9;6;4;1;8;5;7;5;50836
5;36280;2;7;12;3;10;9;6;4;1;8;5;11
2;7;12;3;10;9;6;1;4;8;5;11;5;37336
5;37336;2;7;12;3;10;9;6;1;4;8;5;11
2;7;12;3;10;9;11;1;4;8;5;6;5;39464
5;39464;2;7;12;3;10;9;11;1;4;8;5;6
2;3;12;7;10;9;11;1;4;8;5;6;5;51210
5;39464;2;7;12;3;10;9;11;1;4;8;5;6
2;7;12;3;10;8;11;1;4;9;5;6;5;55300
5;55300;2;7;12;3;10;8;11;1;4;9;5;6
12;7;2;3;10;8;11;1;4;9;5;6;5;60996
5;60996;12;7;2;3;10;8;11;1;4;9;5;6
10;7;2;3;12;8;11;1;4;9;5;6;5;56384
5;56384;10;7;2;3;12;8;11;1;4;9;5;6
10;7;2;3;12;8;9;1;4;11;5;6;5;44948
5;44948;10;7;2;3;12;8;9;1;4;11;5;6
10;5;2;3;12;8;9;1;4;11;7;6;5;33618
5;33618;10;5;2;3;12;8;9;1;4;11;7;6
10;2;5;3;12;8;9;1;4;11;7;6;5;49590
5;49590;10;2;5;3;12;8;9;1;4;11;7;6
10;2;5;3;12;8;11;1;4;9;7;6;5;55046
5;49590;10;2;5;3;12;8;9;1;4;11;7;6
10;3;5;2;12;8;9;1;4;11;7;6;5;49756
5;49756;10;3;5;2;12;8;9;1;4;11;7;6
10;3;5;4;12;8;9;1;2;11;7;6;5;49088
5;49088;10;3;5;4;12;8;9;1;2;11;7;6
9;3;5;4;12;8;10;1;2;11;7;6;5;43544
5;43544;9;3;5;4;12;8;10;1;2;11;7;6
9;3;4;5;12;8;10;1;2;11;7;6;5;45166
5;45166;9;3;4;5;12;8;10;1;2;11;7;6
10;3;4;5;12;8;9;1;2;11;7;6;5;45172
5;45172;10;3;4;5;12;8;9;1;2;11;7;6
10;3;5;4;12;8;9;1;2;11;7;6;5;49088
5;49088;10;3;5;4;12;8;9;1;2;11;7;6
6;3;5;4;12;8;9;1;2;11;7;10;5;55580
6;55580;6;3;5;4;12;8;9;1;2;11;7;10
6;3;5;4;8;12;9;1;2;11;7;10;6;56774
6;56774;6;3;5;4;8;12;9;1;2;11;7;10
1;3;5;4;8;12;9;6;2;11;7;10;6;39100
6;39100;1;3;5;4;8;12;9;6;2;11;7;10
1;3;2;4;8;12;9;6;5;11;7;10;6;34946
6;34946;1;3;2;4;8;12;9;6;5;11;7;10
1;3;2;4;8;5;9;6;12;11;7;10;6;27474
6;27474;1;3;2;4;8;5;9;6;12;11;7;10
5;3;2;4;8;1;9;6;12;11;7;10;6;31068
6;31068;5;3;2;4;8;1;9;6;12;11;7;10
2;3;5;4;8;1;9;6;12;11;7;10;6;46278
6;46278;2;3;5;4;8;1;9;6;12;11;7;10
6;3;5;4;8;1;9;2;12;11;7;10;6;63042
6;63042;6;3;5;4;8;1;9;2;12;11;7;10
6;3;5;4;1;8;9;2;12;11;7;10;6;66586
6;66586;6;3;5;4;1;8;9;2;12;11;7;10
8;3;5;4;1;6;9;2;12;11;7;10;6;63690
6;63690;8;3;5;4;1;6;9;2;12;11;7;10
4;3;5;8;1;6;9;2;12;11;7;10;6;56182
6;56182;4;3;5;8;1;6;9;2;12;11;7;10
9;3;5;8;1;6;4;2;12;11;7;10;6;70108
6;70108;9;3;5;8;1;6;4;2;12;11;7;10
6;3;5;8;1;9;4;2;12;11;7;10;6;69882
6;69882;6;3;5;8;1;9;4;2;12;11;7;10
6;3;4;8;1;9;5;2;12;11;7;10;6;67082
6;67082;6;3;4;8;1;9;5;2;12;11;7;10
2;3;4;8;1;9;5;6;12;11;7;10;6;45280
6;45280;2;3;4;8;1;9;5;6;12;11;7;10
2;3;4;9;1;8;5;6;12;11;7;10;6;42868
6;42868;2;3;4;9;1;8;5;6;12;11;7;10
8;3;4;9;1;2;5;6;12;11;7;10;6;43094
6;43094;8;3;4;9;1;2;5;6;12;11;7;10
6;3;4;9;1;2;5;8;12;11;7;10;6;54882
6;54882;6;3;4;9;1;2;5;8;12;11;7;10
6;3;4;2;1;9;5;8;12;11;7;10;6;55092
6;55092;6;3;4;2;1;9;5;8;12;11;7;10
6;7;4;2;1;9;5;8;12;11;3;10;6;50436
6;50436;6;7;4;2;1;9;5;8;12;11;3;10
6;7;4;2;1;9;5;8;12;11;10;3;6;50586
7;50586;6;7;4;2;1;9;5;8;12;11;10;3
6;7;3;2;1;9;5;8;12;11;10;4;7;49838
7;49838;6;7;3;2;1;9;5;8;12;11;10;4
4;7;3;2;1;9;5;8;12;11;10;6;7;29272
7;29272;4;7;3;2;1;9;5;8;12;11;10;6
11;7;3;2;1;9;5;8;12;4;10;6;7;41164
7;29272;4;7;3;2;1;9;5;8;12;11;10;6
4;7;3;2;6;9;5;8;12;11;10;1;7;31472
7;31472;4;7;3;2;6;9;5;8;12;11;10;1
8;7;3;2;6;9;5;4;12;11;10;1;7;53444
7;31472;4;7;3;2;6;9;5;8;12;11;10;1
4;6;3;2;7;9;5;8;12;11;10;1;7;28804
7;28804;4;6;3;2;7;9;5;8;12;11;10;1
4;3;6;2;7;9;5;8;12;11;10;1;7;38156
7;38156;4;3;6;2;7;9;5;8;12;11;10;1
4;3;6;2;7;1;5;8;12;11;10;9;7;35122
7;35122;4;3;6;2;7;1;5;8;12;11;10;9
4;3;6;10;7;1;5;8;12;11;2;9;7;32820
7;32820;4;3;6;10;7;1;5;8;12;11;2;9
4;3;6;10;7;1;5;2;12;11;8;9;7;47756
7;47756;4;3;6;10;7;1;5;2;12;11;8;9
4;3;9;10;7;1;5;2;12;11;8;6;7;45258
7;45258;4;3;9;10;7;1;5;2;12;11;8;6
4;3;2;10;7;1;5;9;12;11;8;6;7;38266
7;38266;4;3;2;10;7;1;5;9;12;11;8;6
5;3;2;10;7;1;4;9;12;11;8;6;7;29528
7;29528;5;3;2;10;7;1;4;9;12;11;8;6
5;3;2;10;7;1;4;12;9;11;8;6;7;23408
7;23408;5;3;2;10;7;1;4;12;9;11;8;6
5;3;2;10;7;1;4;12;9;11;6;8;7;24170
7;24170;5;3;2;10;7;1;4;12;9;11;6;8
5;3;2;4;7;1;10;12;9;11;6;8;7;28180
7;28180;5;3;2;4;7;1;10;12;9;11;6;8
9;3;2;4;7;1;10;12;5;11;6;8;7;39172
7;39172;9;3;2;4;7;1;10;12;5;11;6;8
9;12;2;4;7;1;10;3;5;11;6;8;7;48004
7;48004;9;12;2;4;7;1;10;3;5;11;6;8
