"X1";"X5951199";"X17";"X22";"X18";"X25";"X21";"X20";"X16";"X26";"X5";"X23";"X12";"X7";"X15";"X10";"X11";"X14";"X1.1";"X6";"X24";"X3";"X19";"X13";"X8";"X9";"X2";"X4"
1;5951199;17;22;18;25;21;20;16;26;5;23;12;7;15;10;11;14;1;6;24;3;19;13;8;9;2;4
17;22;18;25;21;20;16;26;5;23;12;7;15;10;11;14;1;6;24;13;19;3;8;9;2;4;1;5949847
1;5949847;17;22;18;25;21;20;16;26;5;23;12;7;15;10;11;14;1;6;24;13;19;3;8;9;2;4
17;22;18;25;21;20;16;26;5;23;12;7;15;10;11;8;1;6;24;13;19;3;14;9;2;4;1;5893125
1;5893125;17;22;18;25;21;20;16;26;5;23;12;7;15;10;11;8;1;6;24;13;19;3;14;9;2;4
17;22;18;25;26;20;16;21;5;23;12;7;15;10;11;8;1;6;24;13;19;3;14;9;2;4;1;5842659
1;5842659;17;22;18;25;26;20;16;21;5;23;12;7;15;10;11;8;1;6;24;13;19;3;14;9;2;4
17;22;18;25;26;20;2;21;5;23;12;7;15;10;11;8;1;6;24;13;19;3;14;9;16;4;1;5838206
1;5838206;17;22;18;25;26;20;2;21;5;23;12;7;15;10;11;8;1;6;24;13;19;3;14;9;16;4
17;2;18;25;26;20;22;21;5;23;12;7;15;10;11;8;1;6;24;13;19;3;14;9;16;4;1;5826723
1;5826723;17;2;18;25;26;20;22;21;5;23;12;7;15;10;11;8;1;6;24;13;19;3;14;9;16;4
22;2;18;25;26;20;17;21;5;23;12;7;15;10;11;8;1;6;24;13;19;3;14;9;16;4;1;5822740
1;5822740;22;2;18;25;26;20;17;21;5;23;12;7;15;10;11;8;1;6;24;13;19;3;14;9;16;4
22;1;18;25;26;20;17;21;5;23;12;7;15;10;11;8;2;6;24;13;19;3;14;9;16;4;1;5884975
1;5884975;22;1;18;25;26;20;17;21;5;23;12;7;15;10;11;8;2;6;24;13;19;3;14;9;16;4
22;1;18;25;26;20;17;21;5;23;12;7;15;10;11;8;2;6;24;13;3;19;14;9;16;4;1;5887856
1;5887856;22;1;18;25;26;20;17;21;5;23;12;7;15;10;11;8;2;6;24;13;3;19;14;9;16;4
22;1;18;25;26;20;17;21;5;23;12;11;15;10;7;8;2;6;24;13;3;19;14;9;16;4;1;5902147
1;5902147;22;1;18;25;26;20;17;21;5;23;12;11;15;10;7;8;2;6;24;13;3;19;14;9;16;4
26;1;18;25;22;20;17;21;5;23;12;11;15;10;7;8;2;6;24;13;3;19;14;9;16;4;1;5899244
1;5899244;26;1;18;25;22;20;17;21;5;23;12;11;15;10;7;8;2;6;24;13;3;19;14;9;16;4
26;1;18;25;22;20;17;21;5;23;12;11;15;10;7;8;2;6;24;13;4;19;14;9;16;3;1;5932232
1;5932232;26;1;18;25;22;20;17;21;5;23;12;11;15;10;7;8;2;6;24;13;4;19;14;9;16;3
26;1;18;25;22;20;14;21;5;23;12;11;15;10;7;8;2;6;24;13;4;19;17;9;16;3;1;5906811
1;5906811;26;1;18;25;22;20;14;21;5;23;12;11;15;10;7;8;2;6;24;13;4;19;17;9;16;3
26;1;18;25;5;20;14;21;22;23;12;11;15;10;7;8;2;6;24;13;4;19;17;9;16;3;1;6091255
1;6091255;26;1;18;25;5;20;14;21;22;23;12;11;15;10;7;8;2;6;24;13;4;19;17;9;16;3
26;25;18;1;5;20;14;21;22;23;12;11;15;10;7;8;2;6;24;13;4;19;17;9;16;3;1;6082747
1;6082747;26;25;18;1;5;20;14;21;22;23;12;11;15;10;7;8;2;6;24;13;4;19;17;9;16;3
26;25;5;1;18;20;14;21;22;23;12;11;15;10;7;8;2;6;24;13;4;19;17;9;16;3;1;6045973
1;6045973;26;25;5;1;18;20;14;21;22;23;12;11;15;10;7;8;2;6;24;13;4;19;17;9;16;3
26;25;5;1;4;20;14;21;22;23;12;11;15;10;7;8;2;6;24;13;18;19;17;9;16;3;1;6090674
1;6090674;26;25;5;1;4;20;14;21;22;23;12;11;15;10;7;8;2;6;24;13;18;19;17;9;16;3
26;25;5;1;4;20;14;21;22;6;12;11;15;10;7;8;2;23;24;13;18;19;17;9;16;3;1;6087866
1;6087866;26;25;5;1;4;20;14;21;22;6;12;11;15;10;7;8;2;23;24;13;18;19;17;9;16;3
26;25;5;1;4;24;14;21;22;6;12;11;15;10;7;8;2;23;20;13;18;19;17;9;16;3;1;6060563
1;6060563;26;25;5;1;4;24;14;21;22;6;12;11;15;10;7;8;2;23;20;13;18;19;17;9;16;3
26;25;5;1;4;24;14;21;22;6;12;11;15;10;7;8;2;23;18;13;20;19;17;9;16;3;1;6027983
1;6027983;26;25;5;1;4;24;14;21;22;6;12;11;15;10;7;8;2;23;18;13;20;19;17;9;16;3
26;25;5;1;4;24;14;21;22;6;12;11;15;17;7;8;2;23;18;13;20;19;10;9;16;3;1;6031749
2;6031749;26;25;5;1;4;24;14;21;22;6;12;11;15;17;7;8;2;23;18;13;20;19;10;9;16;3
