"X1";"X6007819";"X16";"X24";"X3";"X19";"X7";"X13";"X23";"X26";"X12";"X18";"X14";"X25";"X4";"X20";"X17";"X9";"X10";"X22";"X15";"X21";"X8";"X5";"X11";"X2";"X6";"X1.1"
1;6007819;16;24;3;19;7;13;23;26;12;18;14;25;4;20;17;9;10;22;15;21;8;5;11;2;6;1
16;24;3;19;7;13;23;26;12;18;14;25;4;20;17;9;10;22;15;21;8;5;11;6;2;1;1;5997827
1;5997827;16;24;3;19;7;13;23;26;12;18;14;25;4;20;17;9;10;22;15;21;8;5;11;6;2;1
16;24;3;19;7;13;23;26;12;18;14;25;4;20;17;22;10;9;15;21;8;5;11;6;2;1;1;5958253
1;5958253;16;24;3;19;7;13;23;26;12;18;14;25;4;20;17;22;10;9;15;21;8;5;11;6;2;1
16;24;3;19;7;13;23;26;12;18;14;25;4;20;6;22;10;9;15;21;8;5;11;17;2;1;1;5951352
1;5951352;16;24;3;19;7;13;23;26;12;18;14;25;4;20;6;22;10;9;15;21;8;5;11;17;2;1
16;24;3;19;7;13;23;26;12;18;14;25;4;20;6;22;10;9;15;8;21;5;11;17;2;1;1;5931679
1;5931679;16;24;3;19;7;13;23;26;12;18;14;25;4;20;6;22;10;9;15;8;21;5;11;17;2;1
16;24;3;19;7;13;23;1;12;18;14;25;4;20;6;22;10;9;15;8;21;5;11;17;2;26;1;5905790
1;5905790;16;24;3;19;7;13;23;1;12;18;14;25;4;20;6;22;10;9;15;8;21;5;11;17;2;26
16;24;3;19;7;13;23;1;12;18;14;25;4;15;6;22;10;9;20;8;21;5;11;17;2;26;1;5841021
1;5841021;16;24;3;19;7;13;23;1;12;18;14;25;4;15;6;22;10;9;20;8;21;5;11;17;2;26
16;24;3;19;7;13;23;1;12;18;14;25;4;15;26;22;10;9;20;8;21;5;11;17;2;6;1;5847246
1;5847246;16;24;3;19;7;13;23;1;12;18;14;25;4;15;26;22;10;9;20;8;21;5;11;17;2;6
