"X1";"X5904405";"X17";"X24";"X18";"X25";"X15";"X23";"X16";"X8";"X20";"X14";"X2";"X13";"X12";"X11";"X10";"X5";"X3";"X19";"X7";"X4";"X1.1";"X9";"X26";"X22";"X6";"X21"
1;5904405;17;24;18;25;15;23;16;8;20;14;2;13;12;11;10;5;3;19;7;4;1;9;26;22;6;21
17;24;18;25;15;23;16;8;20;14;2;13;12;11;1;5;3;19;7;4;10;9;26;22;6;21;1;5881320
1;5881320;17;24;18;25;15;23;16;8;20;14;2;13;12;11;1;5;3;19;7;4;10;9;26;22;6;21
22;24;18;25;15;23;16;8;20;14;2;13;12;11;1;5;3;19;7;4;10;9;26;17;6;21;1;5870133
1;5870133;22;24;18;25;15;23;16;8;20;14;2;13;12;11;1;5;3;19;7;4;10;9;26;17;6;21
22;24;23;25;15;18;16;8;20;14;2;13;12;11;1;5;3;19;7;4;10;9;26;17;6;21;1;5952832
1;5952832;22;24;23;25;15;18;16;8;20;14;2;13;12;11;1;5;3;19;7;4;10;9;26;17;6;21
22;24;23;25;15;18;16;8;20;19;2;13;12;11;1;5;3;14;7;4;10;9;26;17;6;21;1;5910270
1;5910270;22;24;23;25;15;18;16;8;20;19;2;13;12;11;1;5;3;14;7;4;10;9;26;17;6;21
22;24;23;25;15;18;9;8;20;19;2;13;12;11;1;5;3;14;7;4;10;16;26;17;6;21;1;5976180
1;5976180;22;24;23;25;15;18;9;8;20;19;2;13;12;11;1;5;3;14;7;4;10;16;26;17;6;21
22;7;23;25;15;18;9;8;20;19;2;13;12;11;1;5;3;14;24;4;10;16;26;17;6;21;1;5950181
1;5950181;22;7;23;25;15;18;9;8;20;19;2;13;12;11;1;5;3;14;24;4;10;16;26;17;6;21
22;7;23;25;15;18;9;8;20;19;11;13;12;2;1;5;3;14;24;4;10;16;26;17;6;21;1;5953403
1;5953403;22;7;23;25;15;18;9;8;20;19;11;13;12;2;1;5;3;14;24;4;10;16;26;17;6;21
22;7;23;25;15;18;9;8;20;19;11;13;12;2;1;5;3;14;24;21;10;16;26;17;6;4;1;6056432
1;6056432;22;7;23;25;15;18;9;8;20;19;11;13;12;2;1;5;3;14;24;21;10;16;26;17;6;4
22;7;23;25;4;18;9;8;20;19;11;13;12;2;1;5;3;14;24;21;10;16;26;17;6;15;1;5981458
1;5981458;22;7;23;25;4;18;9;8;20;19;11;13;12;2;1;5;3;14;24;21;10;16;26;17;6;15
22;7;23;25;4;18;9;8;20;19;11;13;15;2;1;5;3;14;24;21;10;16;26;17;6;12;1;6003093
1;6003093;22;7;23;25;4;18;9;8;20;19;11;13;15;2;1;5;3;14;24;21;10;16;26;17;6;12
17;7;23;25;4;18;9;8;20;19;11;13;15;2;1;5;3;14;24;21;10;16;26;22;6;12;1;6003600
1;6003600;17;7;23;25;4;18;9;8;20;19;11;13;15;2;1;5;3;14;24;21;10;16;26;22;6;12
17;7;23;25;4;18;9;8;20;19;11;13;15;2;24;5;3;14;1;21;10;16;26;22;6;12;1;5988108
1;5988108;17;7;23;25;4;18;9;8;20;19;11;13;15;2;24;5;3;14;1;21;10;16;26;22;6;12
17;7;5;25;4;18;9;8;20;19;11;13;15;2;24;23;3;14;1;21;10;16;26;22;6;12;1;5828963
1;5828963;17;7;5;25;4;18;9;8;20;19;11;13;15;2;24;23;3;14;1;21;10;16;26;22;6;12
17;7;5;25;4;18;9;8;20;19;11;13;15;2;24;23;3;14;1;16;10;21;26;22;6;12;1;5830345
1;5830345;17;7;5;25;4;18;9;8;20;19;11;13;15;2;24;23;3;14;1;16;10;21;26;22;6;12
17;7;5;25;4;3;9;8;20;19;11;13;15;2;24;23;18;14;1;16;10;21;26;22;6;12;1;5815151
1;5815151;17;7;5;25;4;3;9;8;20;19;11;13;15;2;24;23;18;14;1;16;10;21;26;22;6;12
17;7;5;25;4;3;10;8;20;19;11;13;15;2;24;23;18;14;1;16;9;21;26;22;6;12;1;5834890
1;5834890;17;7;5;25;4;3;10;8;20;19;11;13;15;2;24;23;18;14;1;16;9;21;26;22;6;12
17;7;4;25;5;3;10;8;20;19;11;13;15;2;24;23;18;14;1;16;9;21;26;22;6;12;1;5851120
1;5851120;17;7;4;25;5;3;10;8;20;19;11;13;15;2;24;23;18;14;1;16;9;21;26;22;6;12
17;7;4;25;5;3;10;8;20;6;11;13;15;2;24;23;18;14;1;16;9;21;26;22;19;12;1;5881774
1;5881774;17;7;4;25;5;3;10;8;20;6;11;13;15;2;24;23;18;14;1;16;9;21;26;22;19;12
17;7;4;25;5;3;8;10;20;6;11;13;15;2;24;23;18;14;1;16;9;21;26;22;19;12;1;5895207
1;5895207;17;7;4;25;5;3;8;10;20;6;11;13;15;2;24;23;18;14;1;16;9;21;26;22;19;12
17;7;4;25;5;3;2;10;20;6;11;13;15;8;24;23;18;14;1;16;9;21;26;22;19;12;1;5834848
2;5834848;17;7;4;25;5;3;2;10;20;6;11;13;15;8;24;23;18;14;1;16;9;21;26;22;19;12
17;7;4;25;5;3;2;10;20;6;11;13;15;19;24;23;18;14;1;16;9;21;26;22;8;12;2;5877192
2;5877192;17;7;4;25;5;3;2;10;20;6;11;13;15;19;24;23;18;14;1;16;9;21;26;22;8;12
17;8;4;25;5;3;2;10;20;6;11;13;15;19;24;23;18;14;1;16;9;21;26;22;7;12;2;5773264
2;5773264;17;8;4;25;5;3;2;10;20;6;11;13;15;19;24;23;18;14;1;16;9;21;26;22;7;12
17;8;4;25;5;3;2;10;20;24;11;13;15;19;6;23;18;14;1;16;9;21;26;22;7;12;2;5778490
2;5778490;17;8;4;25;5;3;2;10;20;24;11;13;15;19;6;23;18;14;1;16;9;21;26;22;7;12
17;8;4;25;5;3;2;10;20;24;11;13;15;19;6;23;18;14;1;21;9;16;26;22;7;12;2;5778677
