"X1";"X5758141";"X11";"X15";"X10";"X9";"X26";"X19";"X24";"X6";"X25";"X17";"X21";"X5";"X12";"X3";"X13";"X23";"X7";"X14";"X2";"X22";"X4";"X1.1";"X16";"X20";"X8";"X18"
1;5758141;11;15;10;9;26;19;24;6;25;17;21;5;12;3;13;23;7;14;2;22;4;1;16;20;8;18
11;15;10;5;26;19;24;6;25;17;21;9;12;3;13;23;7;14;2;22;4;1;16;20;8;18;1;5798166
1;5798166;11;15;10;5;26;19;24;6;25;17;21;9;12;3;13;23;7;14;2;22;4;1;16;20;8;18
11;25;10;5;26;19;24;6;15;17;21;9;12;3;13;23;7;14;2;22;4;1;16;20;8;18;1;5799570
1;5799570;11;25;10;5;26;19;24;6;15;17;21;9;12;3;13;23;7;14;2;22;4;1;16;20;8;18
11;25;10;5;26;19;24;6;12;17;21;9;15;3;13;23;7;14;2;22;4;1;16;20;8;18;1;5750535
1;5750535;11;25;10;5;26;19;24;6;12;17;21;9;15;3;13;23;7;14;2;22;4;1;16;20;8;18
11;25;10;5;26;19;24;6;12;17;21;9;15;3;13;18;7;14;2;22;4;1;16;20;8;23;1;5739962
1;5739962;11;25;10;5;26;19;24;6;12;17;21;9;15;3;13;18;7;14;2;22;4;1;16;20;8;23
11;25;10;5;26;21;24;6;12;17;19;9;15;3;13;18;7;14;2;22;4;1;16;20;8;23;1;5784856
1;5784856;11;25;10;5;26;21;24;6;12;17;19;9;15;3;13;18;7;14;2;22;4;1;16;20;8;23
11;2;10;5;26;21;24;6;12;17;19;9;15;3;13;18;7;14;25;22;4;1;16;20;8;23;1;5813934
1;5813934;11;2;10;5;26;21;24;6;12;17;19;9;15;3;13;18;7;14;25;22;4;1;16;20;8;23
11;9;10;5;26;21;24;6;12;17;19;2;15;3;13;18;7;14;25;22;4;1;16;20;8;23;1;5886536
1;5886536;11;9;10;5;26;21;24;6;12;17;19;2;15;3;13;18;7;14;25;22;4;1;16;20;8;23
11;9;12;5;26;21;24;6;10;17;19;2;15;3;13;18;7;14;25;22;4;1;16;20;8;23;1;5963928
1;5963928;11;9;12;5;26;21;24;6;10;17;19;2;15;3;13;18;7;14;25;22;4;1;16;20;8;23
11;9;12;5;26;21;24;6;10;17;19;2;15;22;13;18;7;14;25;3;4;1;16;20;8;23;1;6018357
1;6018357;11;9;12;5;26;21;24;6;10;17;19;2;15;22;13;18;7;14;25;3;4;1;16;20;8;23
11;9;12;5;26;21;24;13;10;17;19;2;15;22;6;18;7;14;25;3;4;1;16;20;8;23;1;5992657
1;5992657;11;9;12;5;26;21;24;13;10;17;19;2;15;22;6;18;7;14;25;3;4;1;16;20;8;23
11;9;12;5;26;21;24;13;15;17;19;2;10;22;6;18;7;14;25;3;4;1;16;20;8;23;1;6003433
1;6003433;11;9;12;5;26;21;24;13;15;17;19;2;10;22;6;18;7;14;25;3;4;1;16;20;8;23
11;9;12;5;8;21;24;13;15;17;19;2;10;22;6;18;7;14;25;3;4;1;16;20;26;23;1;6095970
1;6095970;11;9;12;5;8;21;24;13;15;17;19;2;10;22;6;18;7;14;25;3;4;1;16;20;26;23
11;9;12;5;8;21;24;13;15;17;19;2;10;22;6;18;7;14;25;1;4;3;16;20;26;23;1;6083772
1;6083772;11;9;12;5;8;21;24;13;15;17;19;2;10;22;6;18;7;14;25;1;4;3;16;20;26;23
11;9;12;5;8;21;24;13;15;17;19;22;10;2;6;18;7;14;25;1;4;3;16;20;26;23;1;6089125
1;6089125;11;9;12;5;8;21;24;13;15;17;19;22;10;2;6;18;7;14;25;1;4;3;16;20;26;23
11;9;12;5;8;21;24;14;15;17;19;22;10;2;6;18;7;13;25;1;4;3;16;20;26;23;1;6116250
1;6116250;11;9;12;5;8;21;24;14;15;17;19;22;10;2;6;18;7;13;25;1;4;3;16;20;26;23
11;9;12;5;19;21;24;14;15;17;8;22;10;2;6;18;7;13;25;1;4;3;16;20;26;23;1;6128351
1;6128351;11;9;12;5;19;21;24;14;15;17;8;22;10;2;6;18;7;13;25;1;4;3;16;20;26;23
11;9;12;5;19;21;24;14;15;17;8;26;10;2;6;18;7;13;25;1;4;3;16;20;22;23;1;6111455
1;6111455;11;9;12;5;19;21;24;14;15;17;8;26;10;2;6;18;7;13;25;1;4;3;16;20;22;23
6;9;12;5;19;21;24;14;15;17;8;26;10;2;11;18;7;13;25;1;4;3;16;20;22;23;1;6112249
