"X1";"X5801793";"X2";"X20";"X16";"X23";"X14";"X21";"X25";"X22";"X17";"X4";"X11";"X3";"X1.1";"X24";"X5";"X8";"X12";"X9";"X15";"X26";"X13";"X10";"X6";"X19";"X7";"X18"
1;5801793;2;20;16;23;14;21;25;22;17;4;11;3;1;24;5;8;12;9;15;26;13;10;6;19;7;18
2;20;16;23;26;21;25;22;17;4;11;3;1;24;5;8;12;9;15;14;13;10;6;19;7;18;1;5830732
1;5830732;2;20;16;23;26;21;25;22;17;4;11;3;1;24;5;8;12;9;15;14;13;10;6;19;7;18
2;20;16;23;26;21;10;22;17;4;11;3;1;24;5;8;12;9;15;14;13;25;6;19;7;18;1;5828318
1;5828318;2;20;16;23;26;21;10;22;17;4;11;3;1;24;5;8;12;9;15;14;13;25;6;19;7;18
2;20;16;23;26;21;10;15;17;4;11;3;1;24;5;8;12;9;22;14;13;25;6;19;7;18;1;5844575
1;5844575;2;20;16;23;26;21;10;15;17;4;11;3;1;24;5;8;12;9;22;14;13;25;6;19;7;18
2;20;16;23;26;21;22;15;17;4;11;3;1;24;5;8;12;9;10;14;13;25;6;19;7;18;1;5846111
1;5846111;2;20;16;23;26;21;22;15;17;4;11;3;1;24;5;8;12;9;10;14;13;25;6;19;7;18
2;20;16;23;26;21;22;15;24;4;11;3;1;17;5;8;12;9;10;14;13;25;6;19;7;18;1;5845220
1;5845220;2;20;16;23;26;21;22;15;24;4;11;3;1;17;5;8;12;9;10;14;13;25;6;19;7;18
2;20;16;23;26;21;22;15;24;4;11;3;1;17;5;10;12;9;8;14;13;25;6;19;7;18;1;5836556
1;5836556;2;20;16;23;26;21;22;15;24;4;11;3;1;17;5;10;12;9;8;14;13;25;6;19;7;18
2;20;16;23;8;21;22;15;24;4;11;3;1;17;5;10;12;9;26;14;13;25;6;19;7;18;1;5908096
1;5908096;2;20;16;23;8;21;22;15;24;4;11;3;1;17;5;10;12;9;26;14;13;25;6;19;7;18
2;20;16;23;8;21;22;15;24;4;11;3;1;17;5;13;12;9;26;14;10;25;6;19;7;18;1;5891369
1;5891369;2;20;16;23;8;21;22;15;24;4;11;3;1;17;5;13;12;9;26;14;10;25;6;19;7;18
2;20;16;23;8;21;22;15;24;4;11;3;1;17;5;13;12;9;26;14;10;6;25;19;7;18;1;5894421
1;5894421;2;20;16;23;8;21;22;15;24;4;11;3;1;17;5;13;12;9;26;14;10;6;25;19;7;18
2;20;16;23;8;12;22;15;24;4;11;3;1;17;5;13;21;9;26;14;10;6;25;19;7;18;1;5886811
1;5886811;2;20;16;23;8;12;22;15;24;4;11;3;1;17;5;13;21;9;26;14;10;6;25;19;7;18
2;20;16;23;8;12;22;15;24;4;11;3;1;17;5;13;21;9;25;14;10;6;26;19;7;18;1;5905969
1;5905969;2;20;16;23;8;12;22;15;24;4;11;3;1;17;5;13;21;9;25;14;10;6;26;19;7;18
2;20;16;23;8;12;22;15;24;4;11;3;1;17;13;5;21;9;25;14;10;6;26;19;7;18;1;5882683
1;5882683;2;20;16;23;8;12;22;15;24;4;11;3;1;17;13;5;21;9;25;14;10;6;26;19;7;18
2;20;16;23;8;12;22;15;1;4;11;3;24;17;13;5;21;9;25;14;10;6;26;19;7;18;1;5877052
1;5877052;2;20;16;23;8;12;22;15;1;4;11;3;24;17;13;5;21;9;25;14;10;6;26;19;7;18
2;20;16;23;8;12;22;15;19;4;11;3;24;17;13;5;21;9;25;14;10;6;26;1;7;18;1;5964632
1;5964632;2;20;16;23;8;12;22;15;19;4;11;3;24;17;13;5;21;9;25;14;10;6;26;1;7;18
2;20;16;23;8;26;22;15;19;4;11;3;24;17;13;5;21;9;25;14;10;6;12;1;7;18;1;5960178
1;5960178;2;20;16;23;8;26;22;15;19;4;11;3;24;17;13;5;21;9;25;14;10;6;12;1;7;18
2;20;16;23;8;26;22;15;19;4;11;3;21;17;13;5;24;9;25;14;10;6;12;1;7;18;1;5974045
1;5974045;2;20;16;23;8;26;22;15;19;4;11;3;21;17;13;5;24;9;25;14;10;6;12;1;7;18
2;20;16;23;8;26;22;15;19;4;14;3;21;17;13;5;24;9;25;11;10;6;12;1;7;18;1;5921009
1;5921009;2;20;16;23;8;26;22;15;19;4;14;3;21;17;13;5;24;9;25;11;10;6;12;1;7;18
2;20;16;23;8;26;22;15;19;4;14;3;21;17;13;5;25;9;24;11;10;6;12;1;7;18;1;5920246
1;5920246;2;20;16;23;8;26;22;15;19;4;14;3;21;17;13;5;25;9;24;11;10;6;12;1;7;18
22;20;16;23;8;26;2;15;19;4;14;3;21;17;13;5;25;9;24;11;10;6;12;1;7;18;1;5932996
1;5932996;22;20;16;23;8;26;2;15;19;4;14;3;21;17;13;5;25;9;24;11;10;6;12;1;7;18
22;20;16;23;8;26;2;15;19;4;14;3;21;17;13;5;25;9;1;11;10;6;12;24;7;18;1;5855998
2;5855998;22;20;16;23;8;26;2;15;19;4;14;3;21;17;13;5;25;9;1;11;10;6;12;24;7;18
22;20;16;23;8;26;2;15;19;4;14;3;21;9;13;5;25;17;1;11;10;6;12;24;7;18;2;5854318
2;5854318;22;20;16;23;8;26;2;15;19;4;14;3;21;9;13;5;25;17;1;11;10;6;12;24;7;18
22;20;16;23;8;26;2;15;19;4;14;3;21;9;13;5;25;17;1;11;6;10;12;24;7;18;2;5858662
2;5858662;22;20;16;23;8;26;2;15;19;4;14;3;21;9;13;5;25;17;1;11;6;10;12;24;7;18
22;20;16;23;8;26;2;4;19;15;14;3;21;9;13;5;25;17;1;11;6;10;12;24;7;18;2;5858662
2;5858662;22;20;16;23;8;26;2;4;19;15;14;3;21;9;13;5;25;17;1;11;6;10;12;24;7;18
22;20;16;23;8;4;2;26;19;15;14;3;21;9;13;5;25;17;1;11;6;10;12;24;7;18;2;5882411
2;5882411;22;20;16;23;8;4;2;26;19;15;14;3;21;9;13;5;25;17;1;11;6;10;12;24;7;18
22;20;16;23;8;4;21;26;19;15;14;3;2;9;13;5;25;17;1;11;6;10;12;24;7;18;2;5882869
