"X1";"X41290";"X3";"X11";"X2";"X6";"X4";"X5";"X7";"X8";"X1.1";"X12";"X10";"X9"
1;41290;3;11;2;6;4;5;7;8;1;12;10;9
3;11;2;6;4;9;7;8;1;12;10;5;1;50496
1;50496;3;11;2;6;4;9;7;8;1;12;10;5
3;9;2;6;4;11;7;8;1;12;10;5;1;53130
1;53130;3;9;2;6;4;11;7;8;1;12;10;5
8;9;2;6;4;11;7;3;1;12;10;5;1;45008
1;45008;8;9;2;6;4;11;7;3;1;12;10;5
8;9;3;6;4;11;7;2;1;12;10;5;1;41040
1;41040;8;9;3;6;4;11;7;2;1;12;10;5
8;9;3;7;4;11;6;2;1;12;10;5;1;44356
1;44356;8;9;3;7;4;11;6;2;1;12;10;5
8;9;3;7;4;6;11;2;1;12;10;5;1;41996
1;41996;8;9;3;7;4;6;11;2;1;12;10;5
8;9;3;7;4;6;11;2;1;5;10;12;1;52364
1;41996;8;9;3;7;4;6;11;2;1;12;10;5
8;9;3;7;4;6;11;2;1;5;10;12;1;52364
1;52364;8;9;3;7;4;6;11;2;1;5;10;12
8;9;3;6;4;7;11;2;1;5;10;12;1;50422
1;50422;8;9;3;6;4;7;11;2;1;5;10;12
3;9;8;6;4;7;11;2;1;5;10;12;1;53352
1;53352;3;9;8;6;4;7;11;2;1;5;10;12
3;9;8;5;4;7;11;2;1;6;10;12;1;40098
1;40098;3;9;8;5;4;7;11;2;1;6;10;12
3;9;8;5;4;7;12;2;1;6;10;11;1;40962
1;40962;3;9;8;5;4;7;12;2;1;6;10;11
3;9;8;5;4;7;12;6;1;2;10;11;1;46072
1;46072;3;9;8;5;4;7;12;6;1;2;10;11
3;9;8;5;2;7;12;6;1;4;10;11;1;40898
1;40898;3;9;8;5;2;7;12;6;1;4;10;11
12;9;8;5;2;7;3;6;1;4;10;11;1;33824
1;33824;12;9;8;5;2;7;3;6;1;4;10;11
12;9;5;8;2;7;3;6;1;4;10;11;1;31304
1;31304;12;9;5;8;2;7;3;6;1;4;10;11
12;9;10;8;2;7;3;6;1;4;5;11;1;36272
1;31304;12;9;5;8;2;7;3;6;1;4;10;11
12;9;5;4;2;7;3;6;1;8;10;11;1;35868
1;35868;12;9;5;4;2;7;3;6;1;8;10;11
12;9;5;4;2;7;11;6;1;8;10;3;1;39382
1;39382;12;9;5;4;2;7;11;6;1;8;10;3
12;9;5;4;2;7;11;3;1;8;10;6;1;38952
2;38952;12;9;5;4;2;7;11;3;1;8;10;6
12;3;5;4;2;7;11;9;1;8;10;6;2;46288
2;46288;12;3;5;4;2;7;11;9;1;8;10;6
12;3;8;4;2;7;11;9;1;5;10;6;2;52674
2;52674;12;3;8;4;2;7;11;9;1;5;10;6
2;3;8;4;12;7;11;9;1;5;10;6;2;52134
2;52134;2;3;8;4;12;7;11;9;1;5;10;6
