"X1";"X6216985";"X6";"X20";"X18";"X13";"X9";"X26";"X21";"X10";"X15";"X2";"X12";"X11";"X25";"X8";"X7";"X23";"X4";"X1.1";"X16";"X17";"X5";"X22";"X14";"X3";"X24";"X19"
1;6216985;6;20;18;13;9;26;21;10;15;2;12;11;25;8;7;23;4;1;16;17;5;22;14;3;24;19
6;20;18;13;7;26;21;10;15;2;12;11;25;8;9;23;4;1;16;17;5;22;14;3;24;19;1;6193316
1;6193316;6;20;18;13;7;26;21;10;15;2;12;11;25;8;9;23;4;1;16;17;5;22;14;3;24;19
6;20;18;13;7;26;21;10;15;2;12;11;25;8;9;23;4;1;17;16;5;22;14;3;24;19;1;6205606
1;6205606;6;20;18;13;7;26;21;10;15;2;12;11;25;8;9;23;4;1;17;16;5;22;14;3;24;19
6;20;18;13;7;26;21;10;15;2;12;11;17;8;9;23;4;1;25;16;5;22;14;3;24;19;1;6204828
1;6204828;6;20;18;13;7;26;21;10;15;2;12;11;17;8;9;23;4;1;25;16;5;22;14;3;24;19
6;20;18;21;7;26;13;10;15;2;12;11;17;8;9;23;4;1;25;16;5;22;14;3;24;19;1;6235725
1;6235725;6;20;18;21;7;26;13;10;15;2;12;11;17;8;9;23;4;1;25;16;5;22;14;3;24;19
6;20;18;21;7;26;13;10;15;2;12;11;23;8;9;17;4;1;25;16;5;22;14;3;24;19;1;6250013
1;6250013;6;20;18;21;7;26;13;10;15;2;12;11;23;8;9;17;4;1;25;16;5;22;14;3;24;19
6;20;18;10;7;26;13;21;15;2;12;11;23;8;9;17;4;1;25;16;5;22;14;3;24;19;1;6185386
1;6185386;6;20;18;10;7;26;13;21;15;2;12;11;23;8;9;17;4;1;25;16;5;22;14;3;24;19
6;20;18;10;26;7;13;21;15;2;12;11;23;8;9;17;4;1;25;16;5;22;14;3;24;19;1;6122061
1;6122061;6;20;18;10;26;7;13;21;15;2;12;11;23;8;9;17;4;1;25;16;5;22;14;3;24;19
6;20;18;10;26;7;14;21;15;2;12;11;23;8;9;17;4;1;25;16;5;22;13;3;24;19;1;6062283
1;6062283;6;20;18;10;26;7;14;21;15;2;12;11;23;8;9;17;4;1;25;16;5;22;13;3;24;19
6;20;18;10;26;7;14;21;15;2;12;4;23;8;9;17;11;1;25;16;5;22;13;3;24;19;1;6101928
1;6101928;6;20;18;10;26;7;14;21;15;2;12;4;23;8;9;17;11;1;25;16;5;22;13;3;24;19
6;20;13;10;26;7;14;21;15;2;12;4;23;8;9;17;11;1;25;16;5;22;18;3;24;19;1;6139726
1;6139726;6;20;13;10;26;7;14;21;15;2;12;4;23;8;9;17;11;1;25;16;5;22;18;3;24;19
6;20;13;10;26;7;14;21;12;2;15;4;23;8;9;17;11;1;25;16;5;22;18;3;24;19;1;6131073
1;6131073;6;20;13;10;26;7;14;21;12;2;15;4;23;8;9;17;11;1;25;16;5;22;18;3;24;19
6;20;13;10;1;7;14;21;12;2;15;4;23;8;9;17;11;26;25;16;5;22;18;3;24;19;1;6166765
1;6166765;6;20;13;10;1;7;14;21;12;2;15;4;23;8;9;17;11;26;25;16;5;22;18;3;24;19
6;20;13;10;1;7;14;21;12;2;15;4;23;8;9;17;11;22;25;16;5;26;18;3;24;19;1;6169383
1;6169383;6;20;13;10;1;7;14;21;12;2;15;4;23;8;9;17;11;22;25;16;5;26;18;3;24;19
6;20;13;10;1;7;14;21;12;2;5;4;23;8;9;17;11;22;25;16;15;26;18;3;24;19;1;5939184
1;5939184;6;20;13;10;1;7;14;21;12;2;5;4;23;8;9;17;11;22;25;16;15;26;18;3;24;19
6;26;13;10;1;7;14;21;12;2;5;4;23;8;9;17;11;22;25;16;15;20;18;3;24;19;1;5961457
1;5961457;6;26;13;10;1;7;14;21;12;2;5;4;23;8;9;17;11;22;25;16;15;20;18;3;24;19
6;26;13;10;1;19;14;21;12;2;5;4;23;8;9;17;11;22;25;16;15;20;18;3;24;7;1;5968443
1;5968443;6;26;13;10;1;19;14;21;12;2;5;4;23;8;9;17;11;22;25;16;15;20;18;3;24;7
6;26;13;10;1;19;14;21;12;2;5;4;15;8;9;17;11;22;25;16;23;20;18;3;24;7;1;5947632
1;5947632;6;26;13;10;1;19;14;21;12;2;5;4;15;8;9;17;11;22;25;16;23;20;18;3;24;7
6;26;13;10;1;19;14;21;12;2;5;4;15;8;9;17;11;23;25;16;22;20;18;3;24;7;1;5931787
1;5931787;6;26;13;10;1;19;14;21;12;2;5;4;15;8;9;17;11;23;25;16;22;20;18;3;24;7
6;26;13;10;1;19;14;21;12;2;5;4;3;8;9;17;11;23;25;16;22;20;18;15;24;7;1;5882299
1;5882299;6;26;13;10;1;19;14;21;12;2;5;4;3;8;9;17;11;23;25;16;22;20;18;15;24;7
6;26;13;10;1;19;14;21;12;2;5;25;3;8;9;17;11;23;4;16;22;20;18;15;24;7;1;5859301
2;5859301;6;26;13;10;1;19;14;21;12;2;5;25;3;8;9;17;11;23;4;16;22;20;18;15;24;7
6;26;13;10;1;19;14;21;12;2;5;25;3;8;9;17;23;11;4;16;22;20;18;15;24;7;2;5856232
2;5856232;6;26;13;10;1;19;14;21;12;2;5;25;3;8;9;17;23;11;4;16;22;20;18;15;24;7
6;26;13;10;1;19;14;21;7;2;5;25;3;8;9;17;23;11;4;16;22;20;18;15;24;12;2;5837471
2;5837471;6;26;13;10;1;19;14;21;7;2;5;25;3;8;9;17;23;11;4;16;22;20;18;15;24;12
6;26;13;10;1;19;14;21;7;4;5;25;3;8;9;17;23;11;2;16;22;20;18;15;24;12;2;5854593
2;5854593;6;26;13;10;1;19;14;21;7;4;5;25;3;8;9;17;23;11;2;16;22;20;18;15;24;12
6;26;13;10;1;19;5;21;7;4;14;25;3;8;9;17;23;11;2;16;22;20;18;15;24;12;2;5857880
2;5857880;6;26;13;10;1;19;5;21;7;4;14;25;3;8;9;17;23;11;2;16;22;20;18;15;24;12
9;26;13;10;1;19;5;21;7;4;14;25;3;8;6;17;23;11;2;16;22;20;18;15;24;12;2;5899991
2;5899991;9;26;13;10;1;19;5;21;7;4;14;25;3;8;6;17;23;11;2;16;22;20;18;15;24;12
9;26;13;10;1;19;5;21;25;4;14;7;3;8;6;17;23;11;2;16;22;20;18;15;24;12;2;5872836
2;5872836;9;26;13;10;1;19;5;21;25;4;14;7;3;8;6;17;23;11;2;16;22;20;18;15;24;12
9;26;13;19;1;10;5;21;25;4;14;7;3;8;6;17;23;11;2;16;22;20;18;15;24;12;2;5941829
2;5941829;9;26;13;19;1;10;5;21;25;4;14;7;3;8;6;17;23;11;2;16;22;20;18;15;24;12
9;26;13;19;1;10;21;5;25;4;14;7;3;8;6;17;23;11;2;16;22;20;18;15;24;12;2;5921199
2;5921199;9;26;13;19;1;10;21;5;25;4;14;7;3;8;6;17;23;11;2;16;22;20;18;15;24;12
20;26;13;19;1;10;21;5;25;4;14;7;3;8;6;17;23;11;2;16;22;9;18;15;24;12;2;5890351
2;5890351;20;26;13;19;1;10;21;5;25;4;14;7;3;8;6;17;23;11;2;16;22;9;18;15;24;12
20;26;13;19;1;10;21;6;25;4;14;7;3;8;5;17;23;11;2;16;22;9;18;15;24;12;2;6113078
2;6113078;20;26;13;19;1;10;21;6;25;4;14;7;3;8;5;17;23;11;2;16;22;9;18;15;24;12
20;26;13;19;1;10;21;6;25;4;14;7;3;8;5;12;23;11;2;16;22;9;18;15;24;17;2;6106665
2;6106665;20;26;13;19;1;10;21;6;25;4;14;7;3;8;5;12;23;11;2;16;22;9;18;15;24;17
20;26;13;19;1;4;21;6;25;10;14;7;3;8;5;12;23;11;2;16;22;9;18;15;24;17;2;6107281
2;6107281;20;26;13;19;1;4;21;6;25;10;14;7;3;8;5;12;23;11;2;16;22;9;18;15;24;17
20;26;13;19;1;4;21;6;25;10;14;7;3;8;5;12;23;11;2;16;22;15;18;9;24;17;2;6112726
2;6112726;20;26;13;19;1;4;21;6;25;10;14;7;3;8;5;12;23;11;2;16;22;15;18;9;24;17
20;26;13;19;1;4;14;6;25;10;21;7;3;8;5;12;23;11;2;16;22;15;18;9;24;17;2;6094806
2;6094806;20;26;13;19;1;4;14;6;25;10;21;7;3;8;5;12;23;11;2;16;22;15;18;9;24;17
20;26;13;19;1;17;14;6;25;10;21;7;3;8;5;12;23;11;2;16;22;15;18;9;24;4;2;6123442
2;6123442;20;26;13;19;1;17;14;6;25;10;21;7;3;8;5;12;23;11;2;16;22;15;18;9;24;4
20;26;13;19;1;17;14;6;25;10;21;7;3;8;12;5;23;11;2;16;22;15;18;9;24;4;2;6018766
2;6018766;20;26;13;19;1;17;14;6;25;10;21;7;3;8;12;5;23;11;2;16;22;15;18;9;24;4
20;26;13;19;23;17;14;6;25;10;21;7;3;8;12;5;1;11;2;16;22;15;18;9;24;4;2;5958355
2;5958355;20;26;13;19;23;17;14;6;25;10;21;7;3;8;12;5;1;11;2;16;22;15;18;9;24;4
20;26;13;19;23;17;3;6;25;10;21;7;14;8;12;5;1;11;2;16;22;15;18;9;24;4;2;5849230
2;5849230;20;26;13;19;23;17;3;6;25;10;21;7;14;8;12;5;1;11;2;16;22;15;18;9;24;4
20;26;13;19;23;17;3;6;25;10;21;7;14;8;12;5;16;11;2;1;22;15;18;9;24;4;2;5951912
2;5951912;20;26;13;19;23;17;3;6;25;10;21;7;14;8;12;5;16;11;2;1;22;15;18;9;24;4
20;26;13;19;23;17;3;6;25;10;21;7;14;8;12;5;16;4;2;1;22;15;18;9;24;11;2;5955877
3;5955877;20;26;13;19;23;17;3;6;25;10;21;7;14;8;12;5;16;4;2;1;22;15;18;9;24;11
20;26;13;17;23;19;3;6;25;10;21;7;14;8;12;5;16;4;2;1;22;15;18;9;24;11;3;5878864
3;5878864;20;26;13;17;23;19;3;6;25;10;21;7;14;8;12;5;16;4;2;1;22;15;18;9;24;11
20;26;13;17;23;19;3;6;25;10;1;7;14;8;12;5;16;4;2;21;22;15;18;9;24;11;3;5850519
3;5850519;20;26;13;17;23;19;3;6;25;10;1;7;14;8;12;5;16;4;2;21;22;15;18;9;24;11
20;26;13;17;23;19;18;6;25;10;1;7;14;8;12;5;16;4;2;21;22;15;3;9;24;11;3;5912215
3;5912215;20;26;13;17;23;19;18;6;25;10;1;7;14;8;12;5;16;4;2;21;22;15;3;9;24;11
20;26;13;17;23;19;18;6;25;10;1;7;14;8;12;5;16;4;2;11;22;15;3;9;24;21;3;5917963
3;5917963;20;26;13;17;23;19;18;6;25;10;1;7;14;8;12;5;16;4;2;11;22;15;3;9;24;21
20;26;13;17;23;19;12;6;25;10;1;7;14;8;18;5;16;4;2;11;22;15;3;9;24;21;3;5854352
3;5854352;20;26;13;17;23;19;12;6;25;10;1;7;14;8;18;5;16;4;2;11;22;15;3;9;24;21
20;26;13;17;23;19;12;6;25;10;1;9;14;8;18;5;16;4;2;11;22;15;3;7;24;21;3;5833079
3;5833079;20;26;13;17;23;19;12;6;25;10;1;9;14;8;18;5;16;4;2;11;22;15;3;7;24;21
20;26;13;17;23;19;5;6;25;10;1;9;14;8;18;12;16;4;2;11;22;15;3;7;24;21;3;5830584
3;5830584;20;26;13;17;23;19;5;6;25;10;1;9;14;8;18;12;16;4;2;11;22;15;3;7;24;21
20;11;13;17;23;19;5;6;25;10;1;9;14;8;18;12;16;4;2;26;22;15;3;7;24;21;3;5822957
3;5822957;20;11;13;17;23;19;5;6;25;10;1;9;14;8;18;12;16;4;2;26;22;15;3;7;24;21
20;11;13;17;23;19;5;6;15;10;1;9;14;8;18;12;16;4;2;26;22;25;3;7;24;21;3;5767384
3;5767384;20;11;13;17;23;19;5;6;15;10;1;9;14;8;18;12;16;4;2;26;22;25;3;7;24;21
20;11;13;17;23;19;5;6;15;10;1;9;14;8;18;12;16;4;25;26;22;2;3;7;24;21;3;5760304
3;5760304;20;11;13;17;23;19;5;6;15;10;1;9;14;8;18;12;16;4;25;26;22;2;3;7;24;21
20;11;13;21;23;19;5;6;15;10;1;9;14;8;18;12;16;4;25;26;22;2;3;7;24;17;3;5778869
3;5778869;20;11;13;21;23;19;5;6;15;10;1;9;14;8;18;12;16;4;25;26;22;2;3;7;24;17
20;11;13;21;23;19;5;24;15;10;1;9;14;8;18;12;16;4;25;26;22;2;3;7;6;17;3;5788809
3;5788809;20;11;13;21;23;19;5;24;15;10;1;9;14;8;18;12;16;4;25;26;22;2;3;7;6;17
20;11;13;21;10;19;5;24;15;23;1;9;14;8;18;12;16;4;25;26;22;2;3;7;6;17;3;5793859
3;5793859;20;11;13;21;10;19;5;24;15;23;1;9;14;8;18;12;16;4;25;26;22;2;3;7;6;17
21;11;13;20;10;19;5;24;15;23;1;9;14;8;18;12;16;4;25;26;22;2;3;7;6;17;3;5790807
3;5790807;21;11;13;20;10;19;5;24;15;23;1;9;14;8;18;12;16;4;25;26;22;2;3;7;6;17
21;11;13;20;10;19;15;24;5;23;1;9;14;8;18;12;16;4;25;26;22;2;3;7;6;17;3;5783396
3;5783396;21;11;13;20;10;19;15;24;5;23;1;9;14;8;18;12;16;4;25;26;22;2;3;7;6;17
21;11;13;20;10;19;15;24;3;23;1;9;14;8;18;12;16;4;25;26;22;2;5;7;6;17;3;6002337
3;6002337;21;11;13;20;10;19;15;24;3;23;1;9;14;8;18;12;16;4;25;26;22;2;5;7;6;17
21;11;13;20;10;19;5;24;3;23;1;9;14;8;18;12;16;4;25;26;22;2;15;7;6;17;3;5773612
3;5773612;21;11;13;20;10;19;5;24;3;23;1;9;14;8;18;12;16;4;25;26;22;2;15;7;6;17
21;11;13;20;10;19;5;24;3;23;1;9;14;8;18;12;16;4;15;26;22;2;25;7;6;17;3;5721698
3;5721698;21;11;13;20;10;19;5;24;3;23;1;9;14;8;18;12;16;4;15;26;22;2;25;7;6;17
21;11;13;20;10;7;5;24;3;23;1;9;14;8;18;12;16;4;15;26;22;2;25;19;6;17;3;5772010
3;5772010;21;11;13;20;10;7;5;24;3;23;1;9;14;8;18;12;16;4;15;26;22;2;25;19;6;17
21;11;13;20;10;24;5;7;3;23;1;9;14;8;18;12;16;4;15;26;22;2;25;19;6;17;3;5770791
4;5770791;21;11;13;20;10;24;5;7;3;23;1;9;14;8;18;12;16;4;15;26;22;2;25;19;6;17
21;11;13;3;10;24;5;7;20;23;1;9;14;8;18;12;16;4;15;26;22;2;25;19;6;17;4;5812057
4;5812057;21;11;13;3;10;24;5;7;20;23;1;9;14;8;18;12;16;4;15;26;22;2;25;19;6;17
21;11;13;3;10;24;5;7;20;14;1;9;23;8;18;12;16;4;15;26;22;2;25;19;6;17;4;5895739
4;5895739;21;11;13;3;10;24;5;7;20;14;1;9;23;8;18;12;16;4;15;26;22;2;25;19;6;17
21;11;13;3;10;24;5;7;20;14;1;18;23;8;9;12;16;4;15;26;22;2;25;19;6;17;4;5905733
4;5905733;21;11;13;3;10;24;5;7;20;14;1;18;23;8;9;12;16;4;15;26;22;2;25;19;6;17
