"X1";"X6013404";"X23";"X17";"X4";"X21";"X14";"X25";"X9";"X20";"X22";"X26";"X12";"X10";"X5";"X16";"X7";"X6";"X18";"X11";"X2";"X8";"X19";"X3";"X13";"X1.1";"X24";"X15"
1;6013404;23;17;4;21;14;25;9;20;22;26;12;10;5;16;7;6;18;11;2;8;19;3;13;1;24;15
23;17;4;21;14;25;9;20;22;26;12;10;5;16;8;6;18;11;2;7;19;3;13;1;24;15;1;5989647
1;5989647;23;17;4;21;14;25;9;20;22;26;12;10;5;16;8;6;18;11;2;7;19;3;13;1;24;15
23;17;4;21;14;25;9;20;22;26;12;10;5;16;8;6;18;11;2;7;19;3;13;15;24;1;1;5890400
1;5890400;23;17;4;21;14;25;9;20;22;26;12;10;5;16;8;6;18;11;2;7;19;3;13;15;24;1
23;17;4;21;14;25;9;20;22;26;12;10;5;16;8;19;18;11;2;7;6;3;13;15;24;1;1;5871286
1;5871286;23;17;4;21;14;25;9;20;22;26;12;10;5;16;8;19;18;11;2;7;6;3;13;15;24;1
23;17;4;25;14;21;9;20;22;26;12;10;5;16;8;19;18;11;2;7;6;3;13;15;24;1;1;5879037
1;5879037;23;17;4;25;14;21;9;20;22;26;12;10;5;16;8;19;18;11;2;7;6;3;13;15;24;1
23;17;4;25;14;21;9;20;22;26;12;10;5;16;3;19;18;11;2;7;6;8;13;15;24;1;1;5917773
1;5917773;23;17;4;25;14;21;9;20;22;26;12;10;5;16;3;19;18;11;2;7;6;8;13;15;24;1
23;17;4;25;14;21;9;20;22;26;12;10;5;16;3;19;18;13;2;7;6;8;11;15;24;1;1;5921793
1;5921793;23;17;4;25;14;21;9;20;22;26;12;10;5;16;3;19;18;13;2;7;6;8;11;15;24;1
23;17;3;25;14;21;9;20;22;26;12;10;5;16;4;19;18;13;2;7;6;8;11;15;24;1;1;5914647
1;5914647;23;17;3;25;14;21;9;20;22;26;12;10;5;16;4;19;18;13;2;7;6;8;11;15;24;1
23;7;3;25;14;21;9;20;22;26;12;10;5;16;4;19;18;13;2;17;6;8;11;15;24;1;1;5902455
1;5902455;23;7;3;25;14;21;9;20;22;26;12;10;5;16;4;19;18;13;2;17;6;8;11;15;24;1
23;7;3;25;24;21;9;20;22;26;12;10;5;16;4;19;18;13;2;17;6;8;11;15;14;1;1;5938639
1;5938639;23;7;3;25;24;21;9;20;22;26;12;10;5;16;4;19;18;13;2;17;6;8;11;15;14;1
23;7;3;25;24;21;9;20;22;26;12;10;5;16;4;2;18;13;19;17;6;8;11;15;14;1;1;5896709
1;5896709;23;7;3;25;24;21;9;20;22;26;12;10;5;16;4;2;18;13;19;17;6;8;11;15;14;1
23;16;3;25;24;21;9;20;22;26;12;10;5;7;4;2;18;13;19;17;6;8;11;15;14;1;1;5891177
1;5891177;23;16;3;25;24;21;9;20;22;26;12;10;5;7;4;2;18;13;19;17;6;8;11;15;14;1
23;16;3;25;24;21;9;20;22;26;12;10;5;14;4;2;18;13;19;17;6;8;11;15;7;1;1;5793936
1;5793936;23;16;3;25;24;21;9;20;22;26;12;10;5;14;4;2;18;13;19;17;6;8;11;15;7;1
23;16;3;25;24;21;9;20;26;22;12;10;5;14;4;2;18;13;19;17;6;8;11;15;7;1;1;5794076
1;5794076;23;16;3;25;24;21;9;20;26;22;12;10;5;14;4;2;18;13;19;17;6;8;11;15;7;1
23;16;3;25;24;21;9;20;26;22;12;10;5;14;4;2;18;13;17;19;6;8;11;15;7;1;1;5837418
1;5837418;23;16;3;25;24;21;9;20;26;22;12;10;5;14;4;2;18;13;17;19;6;8;11;15;7;1
23;16;3;25;11;21;9;20;26;22;12;10;5;14;4;2;18;13;17;19;6;8;24;15;7;1;1;5838225
1;5838225;23;16;3;25;11;21;9;20;26;22;12;10;5;14;4;2;18;13;17;19;6;8;24;15;7;1
23;16;3;25;11;21;9;20;26;22;12;10;5;24;4;2;18;13;17;19;6;8;14;15;7;1;1;5940716
1;5940716;23;16;3;25;11;21;9;20;26;22;12;10;5;24;4;2;18;13;17;19;6;8;14;15;7;1
23;16;3;25;11;21;9;20;26;22;12;10;5;17;4;2;18;13;24;19;6;8;14;15;7;1;1;5940613
1;5940613;23;16;3;25;11;21;9;20;26;22;12;10;5;17;4;2;18;13;24;19;6;8;14;15;7;1
