"X1";"X56662";"X9";"X10";"X3";"X4";"X7";"X11";"X8";"X1.1";"X5";"X6";"X2";"X12"
1;56662;9;10;3;4;7;11;8;1;5;6;2;12
9;10;11;4;7;3;8;1;5;6;2;12;1;51580
1;51580;9;10;11;4;7;3;8;1;5;6;2;12
1;10;11;4;7;3;8;9;5;6;2;12;1;33766
1;33766;1;10;11;4;7;3;8;9;5;6;2;12
1;10;11;4;8;3;7;9;5;6;2;12;1;38048
1;33766;1;10;11;4;7;3;8;9;5;6;2;12
1;6;11;4;7;3;8;9;5;10;2;12;1;58842
1;58842;1;6;11;4;7;3;8;9;5;10;2;12
1;2;11;4;7;3;8;9;5;10;6;12;1;46630
1;46630;1;2;11;4;7;3;8;9;5;10;6;12
7;2;11;4;1;3;8;9;5;10;6;12;1;46670
1;46670;7;2;11;4;1;3;8;9;5;10;6;12
10;2;11;4;1;3;8;9;5;7;6;12;1;41056
1;41056;10;2;11;4;1;3;8;9;5;7;6;12
10;2;11;4;1;3;8;9;12;7;6;5;1;37054
1;37054;10;2;11;4;1;3;8;9;12;7;6;5
10;2;11;4;1;9;8;3;12;7;6;5;1;35202
1;35202;10;2;11;4;1;9;8;3;12;7;6;5
10;2;11;4;1;9;6;3;12;7;8;5;1;37090
1;37090;10;2;11;4;1;9;6;3;12;7;8;5
10;2;11;4;1;9;6;7;12;3;8;5;1;37524
1;37524;10;2;11;4;1;9;6;7;12;3;8;5
10;2;11;4;9;1;6;7;12;3;8;5;1;41866
1;41866;10;2;11;4;9;1;6;7;12;3;8;5
10;4;11;2;9;1;6;7;12;3;8;5;1;40642
1;40642;10;4;11;2;9;1;6;7;12;3;8;5
10;4;11;2;1;9;6;7;12;3;8;5;1;38412
1;38412;10;4;11;2;1;9;6;7;12;3;8;5
10;3;11;2;1;9;6;7;12;4;8;5;1;50222
1;50222;10;3;11;2;1;9;6;7;12;4;8;5
10;3;11;2;1;9;6;7;4;12;8;5;1;44924
1;44924;10;3;11;2;1;9;6;7;4;12;8;5
5;3;11;2;1;9;6;7;4;12;8;10;1;40912
1;40912;5;3;11;2;1;9;6;7;4;12;8;10
5;4;11;2;1;9;6;7;3;12;8;10;1;51792
1;51792;5;4;11;2;1;9;6;7;3;12;8;10
5;4;11;2;1;7;6;9;3;12;8;10;1;52042
1;52042;5;4;11;2;1;7;6;9;3;12;8;10
5;4;11;2;9;7;6;1;3;12;8;10;1;65632
2;65632;5;4;11;2;9;7;6;1;3;12;8;10
5;4;11;2;8;7;6;1;3;12;9;10;2;61764
2;61764;5;4;11;2;8;7;6;1;3;12;9;10
5;8;11;2;4;7;6;1;3;12;9;10;2;62260
2;62260;5;8;11;2;4;7;6;1;3;12;9;10
5;8;1;2;4;7;6;11;3;12;9;10;2;52300
2;52300;5;8;1;2;4;7;6;11;3;12;9;10
5;8;1;4;2;7;6;11;3;12;9;10;2;52180
2;52180;5;8;1;4;2;7;6;11;3;12;9;10
5;8;10;4;2;7;6;11;3;12;9;1;2;51818
2;51818;5;8;10;4;2;7;6;11;3;12;9;1
5;8;10;3;2;7;6;11;4;12;9;1;2;46120
2;46120;5;8;10;3;2;7;6;11;4;12;9;1
5;4;10;3;2;7;6;11;8;12;9;1;2;51608
2;51608;5;4;10;3;2;7;6;11;8;12;9;1
6;4;10;3;2;7;5;11;8;12;9;1;2;37062
2;37062;6;4;10;3;2;7;5;11;8;12;9;1
6;5;10;3;2;7;4;11;8;12;9;1;2;40870
2;40870;6;5;10;3;2;7;4;11;8;12;9;1
6;5;10;3;1;7;4;11;8;12;9;2;2;37708
2;37708;6;5;10;3;1;7;4;11;8;12;9;2
6;5;3;10;1;7;4;11;8;12;9;2;2;34674
2;34674;6;5;3;10;1;7;4;11;8;12;9;2
6;5;3;4;1;7;10;11;8;12;9;2;2;34822
2;34822;6;5;3;4;1;7;10;11;8;12;9;2
6;5;3;4;1;7;10;11;8;9;12;2;2;40868
2;40868;6;5;3;4;1;7;10;11;8;9;12;2
6;5;3;4;1;7;11;10;8;9;12;2;2;45528
2;45528;6;5;3;4;1;7;11;10;8;9;12;2
6;5;3;4;1;7;11;10;8;2;12;9;2;41688
2;41688;6;5;3;4;1;7;11;10;8;2;12;9
6;5;3;4;10;7;11;1;8;2;12;9;2;38380
2;38380;6;5;3;4;10;7;11;1;8;2;12;9
6;5;2;4;10;7;11;1;8;3;12;9;2;44296
2;44296;6;5;2;4;10;7;11;1;8;3;12;9
6;5;4;2;10;7;11;1;8;3;12;9;2;44600
2;44600;6;5;4;2;10;7;11;1;8;3;12;9
6;5;4;2;1;7;11;10;8;3;12;9;2;48196
2;48196;6;5;4;2;1;7;11;10;8;3;12;9
6;9;4;2;1;7;11;10;8;3;12;5;2;44430
3;44430;6;9;4;2;1;7;11;10;8;3;12;5
6;9;4;3;1;7;11;10;8;2;12;5;3;48880
3;48880;6;9;4;3;1;7;11;10;8;2;12;5
10;9;4;3;1;7;11;6;8;2;12;5;3;49430
3;49430;10;9;4;3;1;7;11;6;8;2;12;5
6;9;4;3;1;7;11;10;8;2;12;5;3;48880
3;48880;6;9;4;3;1;7;11;10;8;2;12;5
6;9;4;3;1;8;11;10;7;2;12;5;3;47970
3;47970;6;9;4;3;1;8;11;10;7;2;12;5
6;9;8;3;1;4;11;10;7;2;12;5;3;43616
3;43616;6;9;8;3;1;4;11;10;7;2;12;5
6;9;8;2;1;4;11;10;7;3;12;5;3;39166
3;39166;6;9;8;2;1;4;11;10;7;3;12;5
2;9;8;6;1;4;11;10;7;3;12;5;3;35990
3;35990;2;9;8;6;1;4;11;10;7;3;12;5
2;9;11;6;1;4;8;10;7;3;12;5;3;37866
3;37866;2;9;11;6;1;4;8;10;7;3;12;5
2;9;11;6;1;4;12;10;7;3;8;5;3;40690
3;40690;2;9;11;6;1;4;12;10;7;3;8;5
2;9;11;6;1;4;3;10;7;12;8;5;3;52246
3;52246;2;9;11;6;1;4;3;10;7;12;8;5
2;9;11;6;10;4;3;1;7;12;8;5;3;53894
3;53894;2;9;11;6;10;4;3;1;7;12;8;5
