"X1";"X5807479";"X17";"X4";"X2";"X9";"X22";"X24";"X26";"X16";"X14";"X3";"X15";"X20";"X21";"X7";"X1.1";"X12";"X10";"X13";"X8";"X23";"X25";"X19";"X6";"X11";"X5";"X18"
1;5807479;17;4;2;9;22;24;26;16;14;3;15;20;21;7;1;12;10;13;8;23;25;19;6;11;5;18
17;13;2;9;22;24;26;16;14;3;15;20;21;7;1;12;10;4;8;23;25;19;6;11;5;18;1;5854704
1;5854704;17;13;2;9;22;24;26;16;14;3;15;20;21;7;1;12;10;4;8;23;25;19;6;11;5;18
17;13;2;9;22;24;26;16;4;3;15;20;21;7;1;12;10;14;8;23;25;19;6;11;5;18;1;5814130
1;5814130;17;13;2;9;22;24;26;16;4;3;15;20;21;7;1;12;10;14;8;23;25;19;6;11;5;18
11;13;2;9;22;24;26;16;4;3;15;20;21;7;1;12;10;14;8;23;25;19;6;17;5;18;1;5813126
1;5813126;11;13;2;9;22;24;26;16;4;3;15;20;21;7;1;12;10;14;8;23;25;19;6;17;5;18
11;23;2;9;22;24;26;16;4;3;15;20;21;7;1;12;10;14;8;13;25;19;6;17;5;18;1;5817220
1;5817220;11;23;2;9;22;24;26;16;4;3;15;20;21;7;1;12;10;14;8;13;25;19;6;17;5;18
11;23;2;9;22;24;26;16;4;3;21;20;15;7;1;12;10;14;8;13;25;19;6;17;5;18;1;5816960
1;5816960;11;23;2;9;22;24;26;16;4;3;21;20;15;7;1;12;10;14;8;13;25;19;6;17;5;18
11;23;20;9;22;24;26;16;4;3;21;2;15;7;1;12;10;14;8;13;25;19;6;17;5;18;1;5891977
1;5891977;11;23;20;9;22;24;26;16;4;3;21;2;15;7;1;12;10;14;8;13;25;19;6;17;5;18
11;23;20;2;22;24;26;16;4;3;21;9;15;7;1;12;10;14;8;13;25;19;6;17;5;18;1;5862269
1;5862269;11;23;20;2;22;24;26;16;4;3;21;9;15;7;1;12;10;14;8;13;25;19;6;17;5;18
11;21;20;2;22;24;26;16;4;3;23;9;15;7;1;12;10;14;8;13;25;19;6;17;5;18;1;5871197
1;5871197;11;21;20;2;22;24;26;16;4;3;23;9;15;7;1;12;10;14;8;13;25;19;6;17;5;18
11;21;20;23;22;24;26;16;4;3;2;9;15;7;1;12;10;14;8;13;25;19;6;17;5;18;1;5865439
1;5865439;11;21;20;23;22;24;26;16;4;3;2;9;15;7;1;12;10;14;8;13;25;19;6;17;5;18
11;21;20;23;22;24;26;16;4;3;2;14;15;7;1;12;10;9;8;13;25;19;6;17;5;18;1;5908803
1;5908803;11;21;20;23;22;24;26;16;4;3;2;14;15;7;1;12;10;9;8;13;25;19;6;17;5;18
11;21;3;23;22;24;26;16;4;20;2;14;15;7;1;12;10;9;8;13;25;19;6;17;5;18;1;5934282
1;5934282;11;21;3;23;22;24;26;16;4;20;2;14;15;7;1;12;10;9;8;13;25;19;6;17;5;18
11;21;3;23;22;24;2;16;4;20;26;14;15;7;1;12;10;9;8;13;25;19;6;17;5;18;1;5978763
1;5978763;11;21;3;23;22;24;2;16;4;20;26;14;15;7;1;12;10;9;8;13;25;19;6;17;5;18
11;21;3;23;22;24;2;16;4;20;26;14;15;7;1;6;10;9;8;13;25;19;12;17;5;18;1;5974825
1;5974825;11;21;3;23;22;24;2;16;4;20;26;14;15;7;1;6;10;9;8;13;25;19;12;17;5;18
11;21;3;23;22;24;2;16;4;20;18;14;15;7;1;6;10;9;8;13;25;19;12;17;5;26;1;5875980
1;5875980;11;21;3;23;22;24;2;16;4;20;18;14;15;7;1;6;10;9;8;13;25;19;12;17;5;26
11;21;3;23;22;24;14;16;4;20;18;2;15;7;1;6;10;9;8;13;25;19;12;17;5;26;1;6032931
1;6032931;11;21;3;23;22;24;14;16;4;20;18;2;15;7;1;6;10;9;8;13;25;19;12;17;5;26
11;21;3;23;22;24;14;19;4;20;18;2;15;7;1;6;10;9;8;13;25;16;12;17;5;26;1;6043595
1;6043595;11;21;3;23;22;24;14;19;4;20;18;2;15;7;1;6;10;9;8;13;25;16;12;17;5;26
11;21;3;23;22;24;14;19;4;20;18;2;15;16;1;6;10;9;8;13;25;7;12;17;5;26;1;6047616
1;6047616;11;21;3;23;22;24;14;19;4;20;18;2;15;16;1;6;10;9;8;13;25;7;12;17;5;26
11;21;3;23;22;24;14;19;4;20;18;2;15;9;1;6;10;16;8;13;25;7;12;17;5;26;1;5999997
1;5999997;11;21;3;23;22;24;14;19;4;20;18;2;15;9;1;6;10;16;8;13;25;7;12;17;5;26
11;21;3;23;22;18;14;19;4;20;24;2;15;9;1;6;10;16;8;13;25;7;12;17;5;26;1;6202661
1;6202661;11;21;3;23;22;18;14;19;4;20;24;2;15;9;1;6;10;16;8;13;25;7;12;17;5;26
11;21;3;12;22;18;14;19;4;20;24;2;15;9;1;6;10;16;8;13;25;7;23;17;5;26;1;6193432
2;6193432;11;21;3;12;22;18;14;19;4;20;24;2;15;9;1;6;10;16;8;13;25;7;23;17;5;26
11;21;3;12;22;18;14;19;1;20;24;2;15;9;4;6;10;16;8;13;25;7;23;17;5;26;2;6144002
2;6144002;11;21;3;12;22;18;14;19;1;20;24;2;15;9;4;6;10;16;8;13;25;7;23;17;5;26
11;21;3;12;22;18;14;19;1;20;24;2;9;15;4;6;10;16;8;13;25;7;23;17;5;26;2;6113359
2;6113359;11;21;3;12;22;18;14;19;1;20;24;2;9;15;4;6;10;16;8;13;25;7;23;17;5;26
11;21;18;12;22;3;14;19;1;20;24;2;9;15;4;6;10;16;8;13;25;7;23;17;5;26;2;5938917
2;5938917;11;21;18;12;22;3;14;19;1;20;24;2;9;15;4;6;10;16;8;13;25;7;23;17;5;26
11;21;18;12;22;3;14;19;1;20;24;2;9;15;4;6;7;16;8;13;25;10;23;17;5;26;2;5973699
2;5973699;11;21;18;12;22;3;14;19;1;20;24;2;9;15;4;6;7;16;8;13;25;10;23;17;5;26
11;21;18;12;22;26;14;19;1;20;24;2;9;15;4;6;7;16;8;13;25;10;23;17;5;3;2;5984822
2;5984822;11;21;18;12;22;26;14;19;1;20;24;2;9;15;4;6;7;16;8;13;25;10;23;17;5;3
11;21;18;12;22;26;5;19;1;20;24;2;9;15;4;6;7;16;8;13;25;10;23;17;14;3;2;5940939
2;5940939;11;21;18;12;22;26;5;19;1;20;24;2;9;15;4;6;7;16;8;13;25;10;23;17;14;3
11;21;18;25;22;26;5;19;1;20;24;2;9;15;4;6;7;16;8;13;12;10;23;17;14;3;2;5951584
2;5951584;11;21;18;25;22;26;5;19;1;20;24;2;9;15;4;6;7;16;8;13;12;10;23;17;14;3
11;21;18;25;22;26;5;19;1;20;24;2;9;15;4;6;7;16;8;13;12;10;23;17;3;14;2;5951584
2;5951584;11;21;18;25;22;26;5;19;1;20;24;2;9;15;4;6;7;16;8;13;12;10;23;17;3;14
11;21;2;25;22;26;5;19;1;20;24;18;9;15;4;6;7;16;8;13;12;10;23;17;3;14;2;5935631
2;5935631;11;21;2;25;22;26;5;19;1;20;24;18;9;15;4;6;7;16;8;13;12;10;23;17;3;14
11;21;2;25;22;26;5;19;1;23;24;18;9;15;4;6;7;16;8;13;12;10;20;17;3;14;2;5911323
2;5911323;11;21;2;25;22;26;5;19;1;23;24;18;9;15;4;6;7;16;8;13;12;10;20;17;3;14
11;4;2;25;22;26;5;19;1;23;24;18;9;15;21;6;7;16;8;13;12;10;20;17;3;14;2;5901566
2;5901566;11;4;2;25;22;26;5;19;1;23;24;18;9;15;21;6;7;16;8;13;12;10;20;17;3;14
11;4;2;25;22;26;5;19;1;23;24;18;10;15;21;6;7;16;8;13;12;9;20;17;3;14;2;5981726
2;5981726;11;4;2;25;22;26;5;19;1;23;24;18;10;15;21;6;7;16;8;13;12;9;20;17;3;14
2;4;11;25;22;26;5;19;1;23;24;18;10;15;21;6;7;16;8;13;12;9;20;17;3;14;2;5982665
2;5982665;2;4;11;25;22;26;5;19;1;23;24;18;10;15;21;6;7;16;8;13;12;9;20;17;3;14
2;4;11;25;22;26;5;19;17;23;24;18;10;15;21;6;7;16;8;13;12;9;20;1;3;14;2;6019416
2;6019416;2;4;11;25;22;26;5;19;17;23;24;18;10;15;21;6;7;16;8;13;12;9;20;1;3;14
2;4;11;25;22;26;5;10;17;23;24;18;19;15;21;6;7;16;8;13;12;9;20;1;3;14;2;6015066
2;6015066;2;4;11;25;22;26;5;10;17;23;24;18;19;15;21;6;7;16;8;13;12;9;20;1;3;14
2;12;11;25;22;26;5;10;17;23;24;18;19;15;21;6;7;16;8;13;4;9;20;1;3;14;2;6005399
2;6005399;2;12;11;25;22;26;5;10;17;23;24;18;19;15;21;6;7;16;8;13;4;9;20;1;3;14
