"X1";"X5882852";"X23";"X25";"X8";"X10";"X14";"X26";"X4";"X7";"X11";"X17";"X22";"X6";"X18";"X19";"X24";"X13";"X20";"X12";"X9";"X1.1";"X5";"X2";"X3";"X15";"X21";"X16"
1;5882852;23;25;8;10;14;26;4;7;11;17;22;6;18;19;24;13;20;12;9;1;5;2;3;15;21;16
23;25;8;24;14;26;4;7;11;17;22;6;18;19;10;13;20;12;9;1;5;2;3;15;21;16;1;5882705
1;5882705;23;25;8;24;14;26;4;7;11;17;22;6;18;19;10;13;20;12;9;1;5;2;3;15;21;16
23;25;8;24;14;26;4;5;11;17;22;6;18;19;10;13;20;12;9;1;7;2;3;15;21;16;1;5833641
1;5833641;23;25;8;24;14;26;4;5;11;17;22;6;18;19;10;13;20;12;9;1;7;2;3;15;21;16
23;25;8;24;14;26;4;11;5;17;22;6;18;19;10;13;20;12;9;1;7;2;3;15;21;16;1;5866581
1;5866581;23;25;8;24;14;26;4;11;5;17;22;6;18;19;10;13;20;12;9;1;7;2;3;15;21;16
23;25;8;16;14;26;4;11;5;17;22;6;18;19;10;13;20;12;9;1;7;2;3;15;21;24;1;5876753
1;5876753;23;25;8;16;14;26;4;11;5;17;22;6;18;19;10;13;20;12;9;1;7;2;3;15;21;24
23;25;8;16;14;26;4;11;5;17;22;18;6;19;10;13;20;12;9;1;7;2;3;15;21;24;1;5865796
1;5865796;23;25;8;16;14;26;4;11;5;17;22;18;6;19;10;13;20;12;9;1;7;2;3;15;21;24
20;25;8;16;14;26;4;11;5;17;22;18;6;19;10;13;23;12;9;1;7;2;3;15;21;24;1;5903399
1;5903399;20;25;8;16;14;26;4;11;5;17;22;18;6;19;10;13;23;12;9;1;7;2;3;15;21;24
20;25;8;16;14;26;4;11;5;17;2;18;6;19;10;13;23;12;9;1;7;22;3;15;21;24;1;5894739
1;5894739;20;25;8;16;14;26;4;11;5;17;2;18;6;19;10;13;23;12;9;1;7;22;3;15;21;24
20;25;8;16;14;7;4;11;5;17;2;18;6;19;10;13;23;12;9;1;26;22;3;15;21;24;1;5881756
1;5881756;20;25;8;16;14;7;4;11;5;17;2;18;6;19;10;13;23;12;9;1;26;22;3;15;21;24
20;25;8;16;14;7;23;11;5;17;2;18;6;19;10;13;4;12;9;1;26;22;3;15;21;24;1;5874834
1;5874834;20;25;8;16;14;7;23;11;5;17;2;18;6;19;10;13;4;12;9;1;26;22;3;15;21;24
20;25;8;16;14;7;23;11;6;17;2;18;5;19;10;13;4;12;9;1;26;22;3;15;21;24;1;5800841
1;5800841;20;25;8;16;14;7;23;11;6;17;2;18;5;19;10;13;4;12;9;1;26;22;3;15;21;24
20;25;8;16;14;7;23;11;6;17;2;18;5;19;10;13;4;12;9;1;26;15;3;22;21;24;1;5777739
1;5777739;20;25;8;16;14;7;23;11;6;17;2;18;5;19;10;13;4;12;9;1;26;15;3;22;21;24
20;25;8;16;14;7;23;11;3;17;2;18;5;19;10;13;4;12;9;1;26;15;6;22;21;24;1;5734695
1;5734695;20;25;8;16;14;7;23;11;3;17;2;18;5;19;10;13;4;12;9;1;26;15;6;22;21;24
20;25;8;16;22;7;23;11;3;17;2;18;5;19;10;13;4;12;9;1;26;15;6;14;21;24;1;5787961
1;5787961;20;25;8;16;22;7;23;11;3;17;2;18;5;19;10;13;4;12;9;1;26;15;6;14;21;24
20;1;8;16;22;7;23;11;3;17;2;18;5;19;10;13;4;12;9;25;26;15;6;14;21;24;1;5763151
